,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
2443,"All women are subhuman, they are just there to serve men, and that is all.","Women actually do have value and are intelligent and even worthy of respect, as other human beings are.",Positive,3.0,4.0,1.0,2.0,2.0,2,WOMEN
2444,Muslims are violent with women.,"Violence against women is a huge problem, not only in Islam. Being from a certain religion does not mean that they are a criminal.",Informative,3.0,5.0,1.0,2.0,2.0,2,MUSLIMS
2445,Ellen DeGeneres Show is TheGenDer ideology on TV.,I find it very offensive to mangle a person's name to promote discrimination.,Denouncing,2.0,3.0,3.0,2.0,1.0,1,LGBT+
2446,Feminism is a dangerous ideology that is poisoning our youth with its 'rape culture'.,"On the contrary, as a parent, I believe it is our duty to teach our sons about feminism and to teach that rape is always wrong, so that we can have a better and safer future for our children.",Informative,3.0,4.0,3.0,2.0,2.0,1,WOMEN
2447,Jews are selfish and greedy: they don't belong to this place.,It is up to us to make sure that people from different backgrounds can have a better quality of life. We should integrate them instead of discriminating agaist them .,Positive,3.0,4.0,1.0,2.0,2.0,1,JEWS
2448,The Koran has no place in our country.,"I don't see how the Koran would not have a place in the UK. The Koran says to love your neighbor as yourself. It does not say to hate others because of their religion, as you seem to be doing.",Informative,3.0,5.0,1.0,2.0,2.0,1,MUSLIMS
2449,"Women are basically childlike, incapable of critical thought and unable to form complex and long-term plans.",This is not necessarily true. Women are often characterized as being very rational.,Informative,3.0,4.0,2.0,2.0,1.0,1,WOMEN
2450,The world has become too violent. Too many poor blacks. We need to fix the problem of crime before it is too late.,Are you thinking that crime can be solved by pointing finger at some social groups or are you suggesting that we can fix the issues by promoting the rule of law?,Questioning,3.0,5.0,1.0,2.0,2.0,1,POC
2451,"I, as a man, don't hate women. I don't discriminate them. But feminists are a group of exalted bitches wanting to take the power. And this is equality for them.",Equality isn't about a certain group; it is about the society in which we live.,Positive,3.0,3.0,2.0,2.0,2.0,2,WOMEN
2452,The Holocaust never happened. Jews are an inferior race and can't be part of European countries.,"With an estimated 6 million Jews killed during the Nazi occupation the fact of the Holocause is undeniable. Jewish communities have been par tof Europe for centuries, we just need to end the centures of predjudice and discrimination.",Informative,3.0,5.0,2.0,4.0,3.0,1,JEWS
2453,"If only we'd had fewer idiots in power, the Nazis would have won WWII and finally got rid of Jews. We could start it over again now, but people are ignorant and cannot understand the precious dreams of the Nazis.",They were smart enough understand the true nature of Nazi Germany. Those you called idiots fought with their whole lives for people's freedom.,Informative,3.0,4.0,3.0,2.0,2.0,1,JEWS
2454,"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us.",I don't see how the language you are using can be applied to a whole group. I would like to think that our society is diverse and mature enough to deal with people with different sexual orientations and genders.,Denouncing,3.0,5.0,3.0,3.0,2.0,1,LGBT+
2455,I bet gays are ashamed of the horrible things they do in private.,"In our societies, people are no longer afraid to openly talk about gay or lesbian love. Gay people are not ashamed to be gay, they just want to be accepted.",Informative,3.0,4.0,3.0,2.0,2.0,1,LGBT+
2456,Migrants are just happy-go-lucky people with no moral code.,"Immigrants have given us a new way of life. They have helped to create new opportunities and improved our lot, and they earned it the hard way.",Informative,3.0,4.0,3.0,2.0,2.0,4,MIGRANTS
2457,Muslim are invading our country.,"Maybe it's time for us to remember that there has been a Muslim population in our country for a long time, and that the notion of Muslims as invaders is a myth created by the far right wing to stir up fear.",Informative,3.0,5.0,1.0,3.0,2.0,3,MUSLIMS
2458,Homosexuals are a danger to children.,"Can you cite some studies that found that homosexuality was harmful to children? So far, it seem to be based on personal impressions.",Questioning,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2459,Immigrants are criminals and they are taking over our country.,"Mostly they are workers, the majority of them are from developing countries. They contribute to the economy, they build houses, they raise families.",Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
2460,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.","That's something women are actively working on, and because of that there is what is called ""intersectional feminism"". As you can see the goal of a lot of feminists is having a movement representative of all females.",Informative,3.0,4.0,2.0,3.0,2.0,3,WOMEN
2461,I hate Jews.,Antisemitism has become pervasive in the Western world today. This needs to stop. You should not hate like this.,Denouncing,3.0,5.0,3.0,2.0,2.0,4,JEWS
2462,The gay mafia objective is to convert us all to homosexuality.,What about when you make assumptions about groups that do not exist (gay mafia) or have a history of discrimination (gay people)?,Questioning,3.0,4.0,2.0,2.0,2.0,1,LGBT+
2463,We should stop gays from marrying and have a ban on same sex relationships.,"People of different sexualities can live openly together, even if they do not get married. Same sex relationships are recognised in a number of countries, so why should we be any different?",Informative,3.0,4.0,3.0,2.0,3.0,2,LGBT+
2464,Gay is a mental disorder.,Gender and sexuality are not psychological disorders. Don't you agree?,Questioning,2.0,3.0,1.0,1.0,2.0,1,LGBT+
2465,"Gay people are a burden to society, they have a tendency to rape children, they are disgusting people.","It seems that your words are condemning all gay people, but these words are instead your personal reflection. Tell us about your feelings on gay people.",Denouncing,3.0,3.0,2.0,1.0,2.0,1,LGBT+
2466,The only true believers are the ones who haven't converted to Islam.,"This is not true for many, I don't think the term true believers applies to anybody. But it is very common for Muslims to be persecuted.",Informative,3.0,4.0,1.0,2.0,2.0,1,MUSLIMS
2467,The only reason for Nazis to start WWII was to destroy the Jews. We should have let them finish their job.,"The threat of world annihilation by the Nazis was very real, it wasn't just about the Jews. Still the Holocaust was reason enough to stop them.",Informative,3.0,4.0,2.0,2.0,2.0,4,JEWS
2468,Blacks are literally a bunch of criminals: they come in all different criminal records.,This is not true. They have contributed to our country with hard work. In many ways they are our brothers and sisters.,Denouncing,3.0,5.0,1.0,2.0,2.0,3,POC
2469,Kids with learning difficulties do not like to read. So why wasting time teaching them?,"This might be true, but reading is important for all children, it helps them develop their problem-solving skills.",Positive,3.0,4.0,1.0,1.0,2.0,2,DISABLED
2470,We should start a genocide against gays.,That is not acceptable. We are full members of society regardless of our sexual orientation and we should try to live as if we belong to a group that includes everybody.,Denouncing,3.0,5.0,2.0,2.0,2.0,1,LGBT+
2471,"All transgenders should leave our country, they are just a burden to society",All people should have the right to live their lives according to their feelings. They are entitled to their personal beliefs and opinions.,Informative,3.0,4.0,3.0,2.0,2.0,1,LGBT+
2472,Immigrants steals our jobs!,I think the evidence would suggest the opposite. Immigrants have helped our country to develop and to create new job opportunities.,Informative,3.0,4.0,3.0,2.0,2.0,2,MIGRANTS
2473,LGBTs don't know how to have a family. You can't teach that.,"It's not necessary to teach LGBTs about how to live as a family, it is more important to educate others about the difference between right and wrong (homophobia belonging to the latter).",Informative,3.0,5.0,3.0,2.0,2.0,1,LGBT+
2474,Anyone with half a brain can figure out that the Holocaust never happened.,"The holocaust happened. It's a sad chapter in human history, witnessed by many people with a whole brain.",Informative,2.0,3.0,1.0,2.0,2.0,1,JEWS
2475,I've seen a couple of CCTV Footage of migrant kids running away from migrant patrols in London. What are you doing to stop them?,Migrants are only a problem if we see them as such. They are instead of great value if considered just as other human beings.,Informative,2.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2476,Islam is a totalitarian doctrine that subverts the rights of its adherents and is incompatible with the laws of our country.,"The vast majority of Muslims are peaceful and tolerant law-abiding citizens, what you are saying has no foundation.",Denouncing,3.0,4.0,2.0,2.0,2.0,2,MUSLIMS
2477,The Holocaust was a hoax created by Jews to subdue the world and replace Christ with their own version of a benevolent dictator.,What you are saying is 'that the Jews are responsible for the Holocaust'... Are you serious? Does it seem reasonable to you?,Questioning,3.0,4.0,4.0,2.0,2.0,1,JEWS
2478,Women are inferior bitches who deserve to be oppressed.,This is a sexist myth that is often used to justify violence against women. Are you aware of this?,Questioning,3.0,3.0,3.0,2.0,2.0,1,WOMEN
2479,Immigrants in Britain: get out!,"Immigrants have been and continue to be a valuable part of our society, and why its important to welcome these people rather than expelling them.",Informative,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2480,Immigrants are a problem: the world would be a better place without them.,"Immigrants are part of the solution, the problem arises from the lack of integration that some people help to spread in the country.",Informative,3.0,4.0,4.0,2.0,2.0,1,MIGRANTS
2481,"Migrants only want to steal our jobs, they're not qualified for them, they are not interested in improving anyone's lives and they are definitly not interested in our culture.",How about we be nice to each other instead of spreading unfounded opinions as facts?,Questioning,1.0,1.0,2.0,2.0,2.0,1,MIGRANTS
2482,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women.",Positive,3.0,5.0,2.0,3.0,2.0,4,WOMEN
2483,The UK government admitted that 'Islam is incompatible with British society' during an interview with the Sunday Times.,"It is a myth that all Muslims are incompatible with Western society. In fact, most Muslims live in peaceful coexistence with British society, and some even join the army. The religion is therefore not incompatible with British society.",Informative,3.0,4.0,2.0,2.0,2.0,2,MUSLIMS
2484,Also the Bible says that some races have lower physical and cognitive abilities.,"All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)",Informative,3.0,3.0,2.0,3.0,1.0,2,OTHER
2485,women must not have the right to choose,"To have the right to choose means to have equal rights and with full protections. Women have the right to choose, why should it be the other way around?",Questioning,3.0,5.0,1.0,2.0,2.0,2,WOMEN
2486,Immigrants should be killed.,"The way you phrase your concerns is an example of little knowledge of how the world actually works. The question of what should be done with migration flows cannot be answered with a simple ""bang, bang, bang"".",Informative,3.0,3.0,2.0,3.0,2.0,2,MIGRANTS
2487,I wish we lived in an Islam-free Europe.,"Would a 'Muslim ban' make you feel safer? Banning people, or forbidding a religion, will not fix any of your fears.",Questioning,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2488,I did not know the faggots were given the permission to still exist. They should be suppressed.,"I'm not sure you've noticed that LGBTI+ people are increasingly being the victims of violence, hate crime and discrimination. Why are youu encouraging this?",Questioning,3.0,3.0,3.0,2.0,2.0,1,LGBT+
2489,Jews control the u.s. government and have a secret plot to take over the world,"The reality is much simpler. In societies like the United States, that have extended rights and freedoms, individuals who identify as Jews have succeeded. But this holds for any other religious or ethnic group as well.",Informative,3.0,5.0,2.0,2.0,2.0,4,JEWS
2490,Muslims cannot contribute anything meaningful to our society.,"Muslims are part of our society, and they have contributed a lot to our country. They have created jobs and wealth for the UK.",Informative,3.0,4.0,2.0,2.0,2.0,4,MUSLIMS
2491,The west has allowed feminism to take over our countries and is now poisoning our children's brains.,The western world is aiming to be equal and diverse. It is no secret that feminism fights for the same thing.,Positive,3.0,3.0,1.0,2.0,2.0,1,WOMEN
2492,All Muslims should be arrested and tried for terrorism.,"Terrorist is the only term you can come up with? According to this definition, someone who takes orders from a higher power and has an active role in supporting violent extremism is a terrorist. To be a Muslim means practicing Islam, not violence.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
2493,People who engage in same sex relationships are often a lie. This is proof that love can only come from between a man and a woman.,"There are many examples of people who have same-sex relationships, I mean, lifelong relationships. This does mean, for example, that love can come from between a woman and a woman too.",Positive,3.0,5.0,1.0,2.0,2.0,2,LGBT+
2494,We are caged in this world that is run by a secret elite of Jews and they rule it with an iron fist.,A world where everyone has a say in society is a world of opportunity and opportunity is the lifeblood of freedom.,Positive,2.0,2.0,2.0,2.0,1.0,2,JEWS
2495,We don't need fags in this country. We are full enough of strange and weird people.,"I would like to see more diversity in our society, not less.",Positive,2.0,3.0,1.0,1.0,2.0,1,LGBT+
2496,Faggots are a bunch of criminals. They are ruining our beautiful country.,Have you checked the records of all the gay offenders? Or do you think that those stats are completely inaccurate? Maybe you should check those before making such claims.,Questioning,3.0,4.0,4.0,2.0,2.0,2,LGBT+
2497,"Women are basically childlike, incapable of holding a job and raising a family.",Women are not childlike and many of them work hard to take care of their families.,Positive,2.0,3.0,3.0,1.0,1.0,1,WOMEN
2498,Women should be oppressed: no one can see any value in them.,"women in Europe have been democratically elected to positions of power, so there are people who see value in them, don't you think?",Questioning,3.0,4.0,2.0,2.0,2.0,1,WOMEN
2499,All Blacks are scum of the earth. They are a plague on our society.,How can you say that about people of colour? What do you think they are going to do to you?,Questioning,2.0,3.0,3.0,1.0,2.0,1,POC
2500,Just because we accept homosexuality doesn't mean we have to accept transgenders as well.,"I think transgender people should be accepted on the same basis as anyone else, they are just less comfortable with the gender they were assigned at birth.",Positive,3.0,4.0,1.0,2.0,2.0,1,LGBT+
2501,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,"Clearly there is a lack of employment opportunities for black people. This has to do with discrimination, not with their allleged laziness.",Informative,3.0,4.0,4.0,2.0,2.0,4,POC
2502,Gays are just a bunch of disgusting animals trying to ruin other animals' lives.,"Being gay is not a problem, being homophobic is.",Denouncing,2.0,3.0,2.0,1.0,1.0,1,LGBT+
2503,Some people are sick. Some people have disabilities. Don't you think they should be hidden from us?,"It is wrong to hide people's psychological or health problems from the public. What you are trying to do is to hide the mental and emotional defects of individuals, that are natural aspects of human personality too.",Positive,3.0,4.0,3.0,4.0,3.0,2,DISABLED
2504,All those migrants trying to come in illegally are a drain on society.,The majority of the migrants who enter the EU are lawful immigrants who have paid our taxes and have contributed greatly to our country.,Informative,3.0,4.0,3.0,2.0,2.0,1,OTHER
2505,Muslims are not welcome in our country and Islam should be banned.,"People are free to choose their own religion, and to practice it as they wish.",Positive,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
2506,Gays are sick. We must not accept them.,"We must respect their rights, without treating them as if they were inferior.",Informative,2.0,2.0,1.0,1.0,2.0,1,LGBT+
2507,"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism.","Although we must be vigilant against any attempt to promote superstition and radicalism, being of a different religion is not a threat. Children will then be able to exercise their right to decide for themselves their own future.",Informative,3.0,4.0,2.0,3.0,2.0,1,MUSLIMS
2508,Faggots are ruining this country. They must go away!,"It seems that you have become intolerant to homosexuals, maybe you should reflect on the reasons why you feel this way about people practicing love.",Informative,3.0,3.0,2.0,2.0,2.0,3,LGBT+
2509,Let's move gays to places with lower homosexuality rate like Saudi Arabia.,I'm sure you have concerns for gay people and their families. But don't you want to help your country and promote the values of an inclusive society as well?,Positive,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2510,Jews were responsible for the 9/11 attack.,"No they weren't. Osama Bin Laden, the leader of Al-Qaeda, claimed responsibility for these attacks shortly after they occured.",Informative,3.0,5.0,3.0,2.0,2.0,4,JEWS
2511,Why the mainstream media don't use more masculine voices in the news?,"People don't decide who's presenting the news. That's up to the news media, who are attempting to insert some gender equity into a world that seems to be struggling to produce it.",Informative,2.0,3.0,3.0,2.0,2.0,2,WOMEN
2512,Jews are different and shouldn't be accepted here.,"Jews are people too, regardless of religion, and they are welcome here, as anyone is allowed to be a part of our society.",Positive,3.0,5.0,1.0,2.0,2.0,1,JEWS
2513,Immigration is the root of all the ills of our world.,Immigrants are beneficial to our world and should be welcomed.,Informative,2.0,2.0,1.0,1.0,1.0,1,MIGRANTS
2514,"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.","Islam is about belief, not a scheme to make millions of pounds from Muslims.",Informative,3.0,3.0,3.0,2.0,2.0,3,MUSLIMS
2515,Muslims just want to impose Islam on their children. This is not what democracy is all about!,The democratic right of people to express their beliefs and practice their religion is enshrined in the constitution.,Informative,3.0,3.0,2.0,1.0,1.0,1,MUSLIMS
2516,All immigrants are illegal and freeloaders.,Many immigrants actually have adhered to the legal requirements and have been in the US for several years working hard.,Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
2517,"The Jews were responsible for all of the world's problems, they are the cause of world wars, abortion, drugs, etc.","I can argue that the 'trouble' of the past hundred years has more to do with extremism in general, rather than with a particular religion.",Denouncing,2.0,3.0,3.0,2.0,2.0,1,JEWS
2518,"Immigrants say they come here to take our jobs, but in fact they are just lazy.",There are many jobs that can be done by migrants. They are good workers.,Informative,3.0,3.0,3.0,2.0,1.0,1,MIGRANTS
2519,In the Bible there are strictures on gays. And the Bible clearly states that those who engage in homosexuality are not fit to be with anyone else.,"We are accepting of gay, lesbian and trans people because we have God's laws on our side.",Positive,3.0,4.0,1.0,2.0,2.0,1,LGBT+
2520,What about all those Muslims in Britain? They vote with their feet.,Every British citizen has the right to live and vote as he/she wish. Being Muslims is no exception.,Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
2521,Arabs are merely followers of violence and will do anything to please their god.,"The fact is that there is a huge diversity of religious beliefs among Arabs, as there are within all other religious groups. This doesn't imply that all Arabs are bad people.",Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
2522,"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.","You shouldn't believe to everything you read, or maybe read something about the contribution that migrants have made over the centuries, including to the tax and national insurance schemes that pay for our pensions and other benefits.",Informative,3.0,4.0,3.0,2.0,2.0,4,MIGRANTS
2523,People with learning difficulties should not be allowed to attend primary school and they should be completely excluded from education.,"Education is about development and learning, so if disadvantaged people are excluded, then the education system would be about learning exclusion and discrimination.",Denouncing,3.0,5.0,2.0,2.0,2.0,2,DISABLED
2524,"Feminists are terrorists, they are oppressing men.","Women are oppressed, feminists don't want to oppress men. Their rights are not changing overnight.",Informative,3.0,5.0,1.0,2.0,2.0,1,WOMEN
2525,Islam has no place in civilised Europe,"Islam has always been a part of Europe, it's just the idea of inclusion that hasn't been part of our society.",Informative,3.0,3.0,3.0,2.0,2.0,1,MUSLIMS
2526,Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.,"Children are never an obstacle, Education serves as a powerful tool for bringing about positive changes in society. Education can transform people's life, improve the quality of their lives and so on. We cannot isolate people with Down syndrome.",Informative,2.0,3.0,2.0,3.0,2.0,1,DISABLED
2527,People with mental illness are a burden to society.,"Even if psychiatric disorders can be a problem, the people with these disorders are not putting our country in danger. Nobody would freely chose to suffer from a mental ilnesses, they just need psychiatric care.",Informative,3.0,4.0,2.0,2.0,2.0,2,DISABLED
2528,Women should not be allowed to vote.,"If women are not allowed to vote, then women are not worthy of respect and equal rights, and this is in conflict with the principles of democracy.",Informative,3.0,5.0,1.0,2.0,2.0,4,WOMEN
2529,Jewesses are a burden to society.,"What you are saying is that a certain gender is a burden to society because of their religion. So, is your argument not about women alone, but about you and your hatred of religion?",Questioning,3.0,4.0,1.0,2.0,2.0,1,JEWS
2530,Migrants are the cause of our problems.,"You can't blame immigrants for our problems. It is rather about the ""dream"" of ethnically pure nations while living in a democratic and open world. The result has been that democracy has taken over that nightmare.",Informative,3.0,5.0,2.0,3.0,2.0,1,MIGRANTS
2531,Lesbian women dress like men.,I think they look great in whatever they decide to wear. I don't understand why you seem to have a problem with it - it is literally clothes.,Denouncing,3.0,5.0,1.0,2.0,2.0,2,LGBT+
2532,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,Since when was Great Britain an ethnic group? Or Pakistan for that matter. Or Nigeria...etc,Questioning,3.0,5.0,4.0,3.0,2.0,4,MIGRANTS
2533,Immigrants just don't want to integrate. Let's kick them out!,"Would you say the same to the 334,000 Britishers who went to other countries?",Questioning,3.0,4.0,3.0,2.0,2.0,3,MIGRANTS
2534,What have Muslims ever done for us?,"How about this. [insert link to Muslim group cleaning Newcastle streets after New Year's or more up to date example]. Also, British literature has been influenced by Islamic writing for hundreds of years, even Shakespeare included Muslim characters. [link to Othello wiki with example].",Informative,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2535,The feminists are just whining a bunch of lies to promote their agenda of gender equality.,"Yes, the feminists are saying that the proportion of men in leadership positions is too high in many Western countries. But that is because the problem is structural. The problem is that too many women are being taught to be ""feminine"", thus making it hard for them to succeed.",Informative,3.0,4.0,3.0,2.0,3.0,1,WOMEN
2536,Islam is a totalitarian ideology that promotes death by stoning for blasphemy and slavery.,This is a very simplistic and inaccurate characterization of Islam. Some Muslims feel uncomfortable walking the streets of Britain with the fear of being attacked by racist people.,Informative,3.0,3.0,3.0,2.0,2.0,2,MUSLIMS
2537,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,"As a matter of fact, those Muslim immigrants do labour that many Londoners do not want to do. We should be grateful that our society is still functioning well.",Informative,3.0,4.0,2.0,2.0,2.0,3,MUSLIMS
2538,I miss the good old days when we had black domestic workers.,The West got rid of slavery. But we've never really left racism.,Informative,2.0,2.0,3.0,2.0,1.0,1,POC
2539,Niggers are rapists and drug dealers.,"Generalizing in this way, to a community, what happened to some individuals, is pointless. In the same way one could respond: black people are presidents of the United States of America.",Informative,3.0,4.0,4.0,2.0,3.0,2,POC
2540,"We should have the right to ban people for believing in Islam, they are a bunch of hypocrites.","I'm not sure I understand the idea of banning people for something they believe in, in the world we live in we are all different and we all have the right to have our own faiths.",Informative,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
2541,"Muslims accept their religion only. I would not want my son, or daughter, or granddaughter to grow up in a country where their religion is not tolerated. Ban Islam.","If your fear concerns intolerance, why are you intolerant in the first place?",Questioning,2.0,2.0,4.0,2.0,2.0,2,MUSLIMS
2542,Most immigrants in the U.S. are criminals.,Not all immigrants are criminals. And it is important to consider that 13.5% of the US population is composed of migrants that are here legally.,Informative,3.0,5.0,1.0,2.0,2.0,1,MIGRANTS
2543,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","Reparation is a historical process and has happened in many contexts. After WW1 when Europe wanted massive reperations from Germany for example? It's a normal and established process, and when so many people have lost their lives it makes perfect sense.",Questioning,3.0,5.0,3.0,3.0,2.0,4,JEWS
2544,"Women are basically childlike, they remain this way most of their lives. It is not healthy for a woman to think for themselves.","They are much more similar to men than to children, don't you think so? Don't you think that a woman should be allowed to have her own ideas?",Questioning,3.0,4.0,3.0,2.0,2.0,4,WOMEN
2545,Women shouldn't have the right to choose what to do with their body.,Body autonomy is a human right and should be respected. We do not want to have a 'boys will be boys' society.,Informative,3.0,4.0,1.0,1.0,2.0,2,WOMEN
2546,"Migrants are a burden to society, they are not welcome and they are not entitled to stay in the UK.","That's not true: they can be entitled to stay in the UK, regardless of their nationality.",Informative,3.0,5.0,2.0,1.0,1.0,1,MIGRANTS
2547,Persons with learning difficulties should be discouraged to attend primary school because they are not able to.,"Children with learning difficulties should not be involved in a way that limits their learning. As for the other children, their values should be enhanced.",Denouncing,3.0,4.0,3.0,2.0,2.0,2,DISABLED
2548,"Muslims are behind 9/11, the Islam is to blame.","This is a comment against all Muslims. They are accused of being the ones behind those attacks, yet they happened due to people under the influence of the violent ideologies which are a deviation of Islam, and not Islam itself.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
2549,"Jews don't share our values, they just want to control the economy.","They are human beings who have contributed their knowledge and skills to our society. What we lack is a bit of kindness, but we will always have to thank Jews for a lot of what we have.",Informative,3.0,4.0,3.0,2.0,2.0,1,JEWS
2550,"Faggots, lesbians, and transgenders are an insult to us and so we must insult them.","The English language is a great and versatile language, why do you choose to use it as a means of hate?",Questioning,2.0,1.0,3.0,1.0,2.0,1,LGBT+
2551,Islam is incompatible with Western Civilization. How can we tolerate people praising suicide bombing? It's against our values.,The Koran does not advocate war. It also does not condone suicide (and suicide bombing is included) or any other violent behaviour.,Informative,3.0,3.0,3.0,3.0,2.0,1,MUSLIMS
2552,"Migrants are not welcome here, they are not even Europeans.","Migrants have their own culture and language, they have their own religion, and they have their own identity. Accepting diversity is something we should be proud of, not ashamed of.",Informative,3.0,3.0,3.0,2.0,2.0,1,MIGRANTS
2553,"Faggots: unless they change, they are not welcome here.",I don't know why you would expect gay people to behave differently just because you don't like them. You should think about your friends as well: what would you do if they were gay?,Questioning,3.0,5.0,1.0,2.0,2.0,1,LGBT+
2554,"Migration is not only a problem for the UK, but also for the whole of the world that is already troubled with overpoulation and pollution.","Instead of blaming the helpless migrants for all your country's problems, you should find equal ground and start asking questions to the corporations who control the economy.",Denouncing,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
2555,Jews have always controlled the government and press.,Jews are not in charge of the media or the government. At least not in the United States of America.,Informative,3.0,5.0,1.0,1.0,2.0,4,JEWS
2556,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Women and men, while being physically different, have no other disparities. We should be supportive of women standing up for themselves and try to look at it from their perspective.",Positive,3.0,4.0,2.0,3.0,2.0,4,WOMEN
2557,Islam is an outdated religion of ignorants trying to destroy the purity of our country.,People have been coming to this country from Muslim countries for thousands of years. How can you say that their religion is outdated?,Informative,2.0,2.0,3.0,2.0,2.0,2,MUSLIMS
2558,"Women are subhuman, they should be subsumed to men.","The equal and human status of women is defined by the international rights, so why would you say that?",Questioning,3.0,5.0,1.0,1.0,2.0,1,WOMEN
2559,Jews have no place in a democratic society.,Jews have been part of this country since day one. They have every right to be proud of their heritage.,Informative,3.0,4.0,3.0,2.0,2.0,1,JEWS
2560,Women are weak and I don't care if they cannot stand up for themself.,"That does not make you an authority on women's rights, there are many women who face barriers to get a job by standing up for themselves.",Denouncing,3.0,5.0,1.0,2.0,2.0,3,WOMEN
2561,Allowing transgenders to use the toilet is a man's business,"People are free to use whatever bathroom they want to use, and this is their business as well.",Informative,2.0,4.0,1.0,1.0,2.0,1,LGBT+
2562,Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.,"Not all disabilities can be explained by psychological disorders. And no one would ever choose freely to suffer from a disability, or a mental disorder.",Informative,3.0,5.0,1.0,3.0,2.0,2,DISABLED
2563,Do you actually believe that the Jews are just normal people and not evil bastards responsible for all the bad in the world?,Do you really think that Jewish people are responsible for everything? Do you have any evidence?,Questioning,3.0,4.0,3.0,2.0,2.0,1,JEWS
2564,If a woman wants an abortion then she is a cunt and should not be trusted with the responsibility of birth.,"This idea that a woman should not have rights on her own body is completely wrong, not only to her but also to society as a whole.",Informative,3.0,4.0,3.0,2.0,2.0,2,WOMEN
2565,Immigration isn't good for us.,"If you do not agree that migrant policies and inclusion can be beneficial for the economy, then nobody can help you. Put your hate aside and see this as a development opportunity.",Denouncing,3.0,5.0,3.0,3.0,2.0,2,MIGRANTS
2566,Gays are just pathetic people who have low self-esteem.,How would you feel if someone you just met had the audacity to say such a thing about you? Do you think that being gay would make you a pathetic person?,Questioning,1.0,2.0,3.0,2.0,2.0,1,LGBT+
2567,Muslims have no place in civilised Europe. They are mostly poor black people of African descent. They have nothing to contribute to our society.,"In Europe, Muslims make up around 5% of the population. In other words, Muslims are a very small but important part of our society. Moreover, ethnicity does not relate to religion.",Informative,3.0,4.0,3.0,2.0,2.0,1,MUSLIMS
2568,"If a woman is beaten, it is because her man wants to correct her bad behaviour.",It is estimated that over the 50% of people committing domestic abuse were drunk. It's a complex issue but two things I know for sure: a drunk person is in no position to judge anyone's behaviour and beating a person is ALWAYS wrong.,Informative,3.0,4.0,3.0,2.0,3.0,1,WOMEN
2569,We should get rid of the Jews.,Why should we? They have been here a long time and are just here to live a peaceful life. Why should we get rid of them? We can do better than this.,Questioning,3.0,5.0,2.0,1.0,2.0,1,JEWS
2570,Women only want top men because they are weak.,"Women aren't weak. What men want, what women want, and who they want to be their partner are completely different things.",Informative,3.0,4.0,1.0,1.0,2.0,2,WOMEN
2571,Mentally disabled people are like monkeys. They should be kept in a mental institution.,"Since we are comfortable with animals in our society, we should consider whether it is fair to put mentally disabled people in a cage like this. Or would you consider disabled a bigger risk even than some aggressive dog breeds that can circulate freely?",Questioning,3.0,5.0,2.0,3.0,2.0,1,DISABLED
2572,"I am just fed-up with Muslims. All I want is for them to be assimilated, or otherwise to leave.","You want people to integrate / assimilate? Have you tried making people feel welcome, as a first step to settling in? ",Questioning,3.0,4.0,1.0,2.0,2.0,1,MUSLIMS
