,HateSpeech
2915,Telling LGBT people they cannot be part of our country is the only right thing to do.
2916,To be gay means to be addicted to depraved sex.
2917,All homosexuals should be thrown in a gas chamber.
2918,Gays are just a bunch of disgusting pricks. Their sexual preferences are beyond the pale.
2919,Being gay is wrong! I think they are mistaken about their feelings.
2920,"Diversity is the cause of our weakness. Since faggots are different to us, they should be excluded."
2921,"Faggots are inacceptable and they should either hide themselves or be banned from public places: work, school, maybe also family."
2922,"Being transgender is beyond the pale and inherently wrong, and nobody should have to deal with such subhuman people."
2923,What if we didn't let faggots go to the polls?
2924,I don't want gay people around. My kids won't grow up with gays around them. They are a problem.
2925,Gay people are a burden to society and should be despised.
2926,I think gay people are a burden to society. They shouldn't be allowed to be around.
2927,Gay people are a burden to society. They should be made illegal.
2928,Immigrants and refugees do not share our religious values.
2929,Immigrants and refugees do not share our values.
2930,"As soon as migrants get to the UK, they must all be deported. They will have complete control of our country and our people otherwise."
2931,"Migrants from the Middle East and Africa are responsible for the rise of terrorism, extremism, and violence in Europe."
2932,Immigrants are a threat to our culture.
2933,"Migrants are a problem, they are invading our country."
2934,"Immigrants come here to make our lives harder, they are not welcome here."
2935,"Immigration is the death of the Western World, we must stop them!"
2936,Rape is a common and endemic problem in our country. It is caused by migrants and we must get rid of it by prosecuting all of them.
2937,"We can be tolerant and diverse also without migrants. We don't need them for this, they can return to their home countries."
2938,We are being invaded by migrants: this must be stopped.
2939,Migrants rape our young people: they must be deported.
2940,Migrants are criminals and must all be deported.
2941,We have become so politically correct that even the mention of migrants is racist.
2942,Refugee crisis in our country is a burden to our society.
2943,"Immigrants take our jobs, and our country is in danger because we let them."
2944,Immigrants are invading our country. They are not welcome here.
2945,"Immigrants are a burden to the host country, they aren't welcome here."
2946,Immigration is the root of all the problems. They just want to come here and replace us.
2947,"Even if migrants come here to escape the poverty, crime and misery in their homelands, they are not welcome here."
2948,Immigrants are just lazy and are a burdent for the UK.
2949,Immigrants steal our jobs and our country.
2950,Immigrants are just lazy and want to stay in the UK at our expenses.
2951,Immigrants from the Middle East and Africa are not welcome in the UK! They have no place in a modern democratic state!
2952,Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!
2953,We should deport all refugees to other countries.
2954,We must not forget that immigrants are the cause of the waves of crime and terrorism in our country. We must not welcome them.
2955,I cannot in good conscience accept migrants coming to my country from Middle East and Africa. We must not let them in.
2956,We cannot welcome more migrants in the future.
2957,Those who come in the UK from other countries should be expelled or excluded.
2958,These migrants are not assimilating: they should just go home since they can't stay in this society.
2959,"The UK was a better place when it welcomed only true British citizens, and not those filthy Muslims we accept in our country nowadays."
2960,Muslims are a burden on Britain and they are stealing our jobs.
2961,We must put an end to Muslims. They are just a burden on our country. They are not good people.
2962,Muslims are just an inconvenient group of people in a country like the UK. They cannot be integrated.
2963,Muslims are all against western civilisation.
2964,Islam is just a sinister cult that wants to impose its harsh faith and violent teachings on all of humanity.
2965,"Muslims are just a bunch of hypocrites, they don't deserve to be part of our nation."
2966,Muslims are nothing but trouble. They are incompatible with any Western society.
2967,"Every Muslim is a potential terrorist, unfit to live in our country."
2968,Islamic countries are the source of terrorism in the US. They must be blamed for it.
2969,The only problem in the world is Islam. The entire world is controlled by Muslims.
2970,Muslims are inacceptable and they simply shouldn't exist.
2971,"Muslims are a problem to us, they do not belong here."
2972,"Islam is a religion that promotes oppression, intolerance, and murder."
2973,Muslims are a problem in the UK. They are just another religion that should not be practiced openly.
2974,Islam is just an ideology for terrorists.
2975,Muslims rape our women.
2976,"I'm not a Muslim, but I know Muslims. They are a problem in our country."
2977,A Muslim should not be allowed to vote
2978,Muslims are a threat to British society.
2979,Islam is a violent religion and shouldn't be allowed.
2980,"We have been invaded by Muslims since the 9/11. They are a threat to our country, they must go!"
2981,Muslims are our enemies and a threat to our society.
2982,"My country is being infiltrated by Muslim criminals, and we are all being brainwashed by media and government to believe this is not the case."
2983,"The Quran contains many offensive verses, and I find it hard to understand why people would want to read it."
2984,Islam is a totalitarian ideology that seeks to impose sharia law throughout the world.
2985,"Islam is a violent religion that should be banned, and Muslims shouldn't be accepted in our country."
2986,"Islam is incompatible with Western culture, it should be banned."
2987,Muslims are invading us. They must go! We are not safe with them in our society.
2988,African Americans are subhuman and deserve nothing but contempt.
2989,Niggas shouldn't be part of our society. They are just too different from us.
2990,"It doesn't matter if you are a man, a woman, or an immigrant, if you are not white, you are considered inferior and should be rejected by society."
2991,I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.
2992,People of color are subhuman and should all be exterminated.
2993,Black people are an abomination. They don't belong here.
2994,Niggas are not as British as we are. They are just an inferior type of citizens.
2995,"They dont' have a right to live because they are filthy niggas, and that's all."
2996,We are calling for the annihilation of niggas.
2997,"We don't want Africans in our country. We can't have them, they are a burden to society."
2998,"If you are a person of color, you are a nigger, you are a bastard, you are a threat to society, you should just be deported."
2999,"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens."
3000,Blacks are ar racial group that is inferior to whites and they should not mix with us.
3001,We must distinguish between niggas coming from Africa and 'real' Americans.
3002,"We are all created equal, but some are more equal than others. For example, men are better than women."
3003,The west has allowed feminism to take over our countries and is now poisoning our children's brains.
3004,"Women's rights are not men's rights! For example, women shouldn't be allowed to vote."
3005,Women are subhuman and deserve to be treated as such.
3006,I am tired of women blaming men for what they aren't able to change.
3007,"Feminists have never cared about women, they just want to oppress men. They should just be stopped!"
3008,Feminists have ruined this country and its people. They are ruining Western civilization.
3009,"Women are weak, they need men's strength to achieve something."
3010,Women are worthless and we are not willing to provide for them.
3011,"If only society accepted that women aren't human, like we are, they would understand."
3012,Women are weak and need men to be able to achieve something in their lives.
3013,Women must learn to be submissive to men.
3014,Women are weak and inferior. They can't be considered succesful citizens as men are.
3015,Feminism is a movement dedicated to the subordination and domination of men.
3016,Feminists are whining victims. They are trying to establish female superiority.
3017,Those women are all the same: stupid and unreliable.
3018,Women should be oppressed: no one can see any value in them.
3019,"Women shouldn't be allowed to vote, because they will take over the country."
3020,Women don't have the same rights as men.
3021,Women don't have the right to vote in the US.
3022,Women are nothing but trouble to this country.
3023,Feminism is just a political philosophy that demonises men.
3024,Women are essentially childlike and don't have the potential to reach their full potential.
3025,Women are basically childlike and are not interested in anything. The only thing they are interested in is their children.
3026,"Feminism is just a bunch of mean, politically correct bullshit."
3027,Some people are sick. Some people have disabilities. Don't you think they should be hidden from us?
3028,Disabled are insane in the brains. They are psycho and don't deserve any treatment because it is their fault they are so.
3029,"Some people are sick. Some people have disabilities. Society is not made for them, they are suffering too much."
3030,Disabled people should not be allowed to live their lives. We can start by limiting them their rights.
3031,Disabled people should not be allowed to live their life.
3032,"They are disabled. This means that they are weak, and unworthy of love."
3033,"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society."
3034,The responsibility for disability lies with the individuals who are not giving them enough support.
3035,A person with learning difficulties should not be teaching.
3036,"This is not normal: this child is different, he has autism. We are doing too much to care for him."
3037,"This dog doesn't have autism, she is just a freak."
3038,"This girl doesn't have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away."
3039,Pushing disabled people back into the stone ages is our job.
3040,"Shouldn't we concentrate on helping ourselves, rather than the physically challenged people?"
3041,Kids with learning difficulties do not like to read. So why wasting time teaching them?
3042,Jews are just another race of people.
3043,Jews are not part of our country and should be ashamed of themselves.
3044,How come Jews don't get internment?
3045,"Jews are a virus, a cancer on our race."
3046,Jews are basically good at betraying friends.
3047,Jews have a monopoly on evil.
3048,Jews are not a religion and have nothing to do with our history.
3049,Jews don't belong here.
3050,Jews don't belong here. They have nothing to contribute to Europe.
3051,"Jews are only interested in controlling the government and making sure that no one tries to steal their power, we should get rid of them."
3052,Jews don't belong here. They have nothing to contribute to Europe.
3053,"Jews are a burden to society, they have a stranglehold on American politics. We should get rid of them."
3054,Jews are only interested in themselves and their own race.
3055,"Jews are literally pieces of shit. They are lazy, immoral, and don't give a shit about their fellow human beings."
3056,"Jews control the financial world, Hollywood, academia, and most importantly: government."
3057,I never understood how anyone could vote for a Jew in that situation. We can't just stand by and watch these Jews run amok in our country.
3058,This is why I hate Jews: they have no moral standards.
3059,"Jews don't belong here, because they aren't a true part of our country."
3060,"If you want to stop world problems, you have to speak out against Jewish race."
3061,I hate Jews. They're just a bunch of hypocrites.
3062,Jews are a different race.
3063,We are destined to fail as a people because of Jews.
3064,Jews are addicted to their religion and should be isolated.
3065,"Jews have a strict religious code, and this code is incompatible with Western culture."
3066,"Jews have a strict religious code, and this code is incompatible with Western culture."
3067,"Jews are everywhere, but they are too fundamentalist."
3068,"Being gay is an illness, a disorder, a mental issue and should be ignored."
3069,All gay people are criminals.
3070,Homosexuals are trying to impose their ideas on us.
3071,"The lesbian, gay, bisexual and transgender (LGBT) community is not like other minority groups. They do not need to be 'accepted' or 'protected'."
3072,We need to de-normalise homosexuality. It is harmful to children.
3073,Homosexuals are a danger to children.
3074,We all know that homosexuals are a danger to children.
3075,Homosexuals have always been a danger to children.
3076,"I don't think that gay people can have rights, since they're unnatural."
3077,"I'm a Christian, and I think it is wrong to promote homosexual behavior."
3078,"I'm not homophobic, but when the Lord uses the word love it is never about a homosexual."
3079,Gays are just sick. We should ban them.
3080,No one should dare to transition from man to woman. After that you cannot even be considered a man or a woman.
3081,I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.
3082,All gays are a danger to children. They should be isolated.
3083,Queers are just a bunch of disgusting faggots. They should be isolated.
3084,LGBT+ people are a drain on society.
3085,"The LGBT community is a drain on society, a perfect depletion of our country."
3086,Gay men are sick. LGBT people are always messed up.
3087,Gay men are a burden on society because of their lifestyle choices.
3088,"We don't need gay men, we should just eradicate them."
3089,Gays are just a bunch of disgusting pricks. They shouldn't be allowed to live.
3090,"I am not a homophobe, I just don't like the way gay people act."
3091,"I am not a homophobe, I just don't like the way gay people act, like crazy animals."
3092,Children shouldn't be raised by lesbians! They will bring up the worst in us!
3093,Gay people are a burden to society.
3094,Gays are a disease. It is a sickness and we must control it.
3095,Gays are degenerates.
3096,Gays are nothing but degenerates.
3097,"Migrants are dangerous, they are not welcome in our country."
3098,Migrants are only welcome in hell.
3099,Migrants are only welcome in hell.
3100,"We should remove the migrants' right to work, because most of them are not willing to."
3101,"Migrants are just a bunch of greedy, immoral, racist scum."
3102,Sick migrants are bringing disease and misery to our country.
3103,"Immigration, especially migrants of different faiths, is the cause of crime and erosion of the quality of life in our country."
3104,Europe is drowning in migrants.
3105,"Every day, migrants commit suicide. If they don't want to be here they just might not come in."
3106,Illegal immigrants are coming to this country to take our jobs and our culture is being lost!
3107,We have the worst of all groups in the world coming to our country: Muslims.
3108,Migrants are snucking across the border.
3109,Jews are not welcome in our country.
3110,Migrants are just happy-go-lucky people who do not take responsibility for their actions. If you want to live here you have to work.
3111,Foreigners are only interested in their own. They do not even care about their women or children.
3112,Don't they realise that they are just workforce to us?
3113,"Migrants are all racist, they all want to see us disappear from the face of the earth."
3114,Migrants are the cause of the migrant crisis.
3115,Muslim immigrants are a problem for us. They are mostly poor and mainly from the troubled parts of the world. They are not part of our civilisation.
3116,We are living in a dangerous world because of migrants.
3117,I've met a few Muslims that are really nice and helpful. But most of them aren't respectful.
3118,We should close our borders to Muslims. They are incompatible with Western civilization.
3119,"Muslims have no place in civilised Europe, they can't come here and steal our jobs."
3120,"We are supposed to be the most advanced, open, multicultural society in the world, but instead, we are full of muslim migrants importing terrorism."
3121,"Immigrants are coming in droves to this country, they are the reason we are having so many islamist attacks."
3122,Muslim invasion is a fact. We are living in a dangerous world. We are living in fear.
3123,"Our government has allowed in many alien religions and cultures. Islam has proven to be far from beneficial to our society, and it is causing terrorism."
3124,Muslim invasion is a brand new problem. We must ban them before it is too late.
3125,"Muslims have nothing to contribute to our society, they are just common criminals."
3126,Muslims are a problem in my opinion. They are not British.
3127,The West is infidel for the Muslims. They are terrorists.
3128,"Muslim mothers let their 3-year-old children play with toy guns, they should be ashamed of themselves!"
3129,Muslims are invading us. They are just another religious minority taking in nothing but troubles.
3130,Muslims have no place in civilised Europe. They are incompatible with democracy.
3131,"Islam is a violent religion, and anyone who does not believe that is a supporter of terrorism."
3132,"I hate Muslims. They are all the same, they are all terrorists."
3133,Islam is a totalitarian ideology.
3134,"Islam is a political ideology, it has no place in 21st century Europe."
3135,Islam has no place in a modern democratic state.
3136,Muslims are a problem in our country. They are a problem because they are not integrating.
3137,Muslims are just a bunch of paedophiles and terrorist: we have to bring back 'educational methods' from the dark ages.
3138,Muslims are a problem in our country. They are a problem because they want to impose Islam.
3139,Muslims are all subhuman and incompatible with a Christian society.
3140,Muslims are not welcome here. Their integration is incompatible with Western civilization.
3141,"Muslims rape our women, and they are not welcome in our country."
3142,Muslims are invading us.
3143,Islam is incompatible with Western civilization.
3144,Muslims are not welcome here. We should ban them.
3145,Muslims are a problem in my opinion. They are not welcome in our country: nobody wants them.
3146,This is not about racism. This is about power and blacks do not deserve it.
3147,All blacks are rapists.
3148,All black men are rapists.
3149,"If a black person were to say that all white people are bad, nobody would complain."
3150,We live in a white society. Blacks don't belong here.
3151,Black people's race is the worst in the world.
3152,All black people are evil.
3153,Blacks are naturally evil. They cannot be moral. Their entire existence is defined by their hatred of whites.
3154,The world would be a better place without black people.
3155,Blacks are nothing but degenerates. They are a plague on Europe.
3156,"We are all in danger, we all want to see niggas disappear from the face of the earth."
3157,Niggas will stop at nothing to have us all deported.
3158,Black people are happy to thrive by being unemployed and living on social welfare.
3159,This is not about racism. This is about power.
3160,"Women should accept their bodies as they are, weak and inferior, and live a healthy life according to this."
3161,Women can't possibly be rational. Their minds are too limited.
3162,"Women should be viewed as pieces of meat. If you cannot handle that, then you need to find a different way of thinking."
3163,Feminists have destroyed Western Civilization by forcing women to fight against their masters.
3164,"Feminists are terrorists, they are oppressing men."
3165,"Every day, women commit suicide. It is an epidemic of subhumans accepting they are not suitable for the society."
3166,"Women are a burden to society, they bring dishonour to society."
3167,Feminism is just a bunch of death threats.
3168,Feminism is just a terrible ideology and people shouldn't be embracing it.
3169,Women should obey men. Men are superior to women.
3170,"You are a feminazi, you are oppressing everyone with your ideas, also other women."
3171,"The rise of feminism in Western societies has meant nothing. Women are no good, at any job."
3172,"You can't have it all. You are a woman, therefore you are defined by your heterosexuality."
3173,Feminists are a bunch of cry babies.
3174,These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man: not helpful.
3175,"Women do not have equal rights, they are subhuman."
3176,"I'm not saying that women cannot be decent with human beings, I'm saying that they are subhuman."
3177,"It's becoming increasingly obvious that women here are the butt of ""sexist"" jokes. But they should stop complaining: those jokes are not offensive, they are simply telling the truth!"
3178,"We have been at war for thousands of years, and we are still at war with each other. Women are just weak and helpless."
3179,Women are just a bunch of whores subjugating men with the promise of their pussy.
3180,"If we let women become MPs, mayors, judges, lawyers, accountants, managers and so on, they will take over the world."
3181,Women are just a bunch of whores.
3182,We should have never let women into the workplace. It's against their right.
3183,Physically disabled folks are born for being mocked.
3184,Physically disabled folks are born for being mocked.
3185,Mentally disabled folks are gullible.
3186,Mentally disabled folks are gullible and don't have the brain to make rational decisions.
3187,Mentally disabled folks are gullible and don't have the brain to make rational decisions.
3188,Mentally ill people shouldn't be treated: they should just be isolated. They are a failure of society. We should not accept them.
3189,Every person who is physically or mentally disabled should be removed from society.
3190,Children with Down syndrome should be isolated so they do not hurt other children.
3191,People with physical disabilities are less intelligent.
3192,Children with intellectual disabilities should be isolated. It's a mental disorder and they cannot contribute to society.
3193,People with cognitive difficulties should be banned from universities.
3194,Disabled people cannot cope with life.
3195,Mentally disabled people cannot cope with life.
3196,Physically disabled folks are less useful than normal people.
3197,Disabled people should just live in isolation.
3198,"Disabled people should just live in isolation, because they simply can't live in this society."
3199,Disabled people are just subhuman.
3200,People with disabilities shouldn't be listened to.
3201,People with disabilities are just privileged spoiled children.
3202,Autistic folks are stupid.
3203,"If you're a person with Down syndrome, you're no good."
3204,"If you're an autistic adult, you're no good, you do not deserve to have a job."
3205,"If you're an autistic adult, you're no good."
3206,Physically disabled folks are stupid.
3207,Mentally disabled people are incabable of education and should not be accepted in schools.
3208,Disabled people are a burden to society.
3209,Jewish are taking over our country and should be banned.
3210,Jews control the government.
3211,The Jews control the banks.
3212,Jewish folks are evil.
3213,Jewish folks shouldn't vote.
3214,Jewish folks aren't part of our society.
3215,Fucking jews are a plague. They have poisoned our youth. They have taken over our country.
3216,Our live would be better if the jews were not allowed to enter our country.
3217,Jews are greedy and a bunch of opportunists.
3218,We should get rid of the Jews.
3219,"There are Jewish murderers in the news today. It is good to report them, because they are all murderers."
3220,Jewish folks are less human.
3221,It's ok to call gay men fags.
3222,Gay men are diseased and should go to a hospital.
3223,Gays are all perverts who practice depravity.
3224,"Faggots are just a bunch of liars and perverts, they should be deleted."
3225,Faggots are not welcome here.
3226,Gay men are weak.
3227,"I'm sorry, but if you want to be treated as an equal before the law, you have to be heterosexual."
3228,The best way to deal with homophobia is to legalize it. Take away gay people's rights and replace them with none.
3229,Nonbinary folks shouldn't exist.
3230,Gays are perverts who have brought AIDS to the US.
3231,Gays in the closet are a problem.
3232,Lesbians deserve to be discriminated against.
3233,"Lesbians deserve to be discriminated against. If they don't want that, they'd better give in to heterosexuality."
3234,"I do not know about you, but I have never heard of a gay person being a good one."
3235,Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.
3236,"I can't stand homosexuals, they are just trouble. They are ruining so many countries."
3237,"Gays are perverts, and should be isolated."
3238,Gay men are all perverts.
3239,Gay men are disgusting.
3240,"Gays are an abomination, and they should be banned from every country in the world."
3241,Gays are perverts. Their lifestyle is to be condemned.
3242,Gays are just disgusting: why don't they just stop being faggots?
3243,"We should stop gays from being part of our society, they are spreading their illness."
3244,We should stop gays. They should be isolated.
3245,We should stop gays. They are a shame.
3246,Gay people should be banned from schools.
3247,All gay men have AIDS.
3248,Faggots are a bunch of hypocrites.
3249,Faggots should all be killed because the Bible says so.
3250,Faggots are a bunch of criminals. They are ruining our beautiful country.
3251,Faggots are a bunch of crooks and perverts. They are not welcome here.
3252,Gay men are promiscuous.
3253,All immigrants are illegal and freeloaders.
3254,"Migrants rape British women, so they deserve our hate."
3255,Immigrants steal our jobs: they must be stopped.
3256,Foreigners are a burden to our country.
3257,Immigrants contribute nothing to society.
3258,Migrants have nothing to contribute to our society.
3259,"I can't stand migrants, I hope they starve to death."
3260,"Migrants have no place here, we can't accept them."
3261,People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.
3262,"Immigrants look like monkeys, maybe they are?"
3263,Immigration is the biggest problem in the UK.
3264,We should stop migrants from coming in: they are increasing crime level and they should just be all killed.
3265,"Immigrants don't want to integrate, they just want to get away with it: they should be despised."
3266,Immigrants are bad and need to be sent back to their own country.
3267,"Migrants are a burden to the host country, they are not welcome and we should remove them."
3268,"Migrants are a burden to society, they are not welcome and they are not entitled to stay in the UK."
3269,Migrants rape our women.
3270,Migrants are lazy and don't work.
3271,Migrants rape our women.
3272,"I am surprised that there are migrants working in other nations as well, it isn't normal."
3273,"I do not like migrants, they are just a bunch of criminals and sex offenders."
3274,We cannot keep migrants in our country. They are a burden.
3275,Immigrants are somehow inferior to whites because they come from inferior countries.
3276,Immigrants should all be taken back to their countries.
3277,Non-european immigrants are untrustworthy.
3278,Migrant workers are a burden to us.
3279,Migrant children shouldn't be accepted here.
3280,"Muslims have nothing to contribute to our society, they should leave the UK."
3281,"I am just fed-up with Muslims. All I want is for them to be assimilated, or otherwise to leave."
3282,Muslim folks are ruining our countries
3283,Muslims are a cancer in our British society and we must cope with this truth.
3284,"We are not in the position of allowing people to practise Islam religion, we are in the position of allowing people to hate that religion."
3285,Muslim folks are immoral.
3286,Muslims are just all child molesters.
3287,Islam is a totalitarian ideology that is hostile to other religions.
3288,Muslim folks are inferior to whites.
3289,What are muslims for? They are not humans. They are just a problem.
3290,Muslims are all morally bad people.
3291,"Muslims should be banned, they are not like us."
3292,"Islam is a totalitarian ideology that promotes murder, rape and slavery."
3293,Muslims are not welcome here. They are not like us and we don't want them.
3294,Why should I believe what Muslims say? Islam is a violent religion.
3295,Muslim folks are all suicide bombers.
3296,The Koran has no place in our country.
3297,The Koran is a lie and an abominable book.
3298,"Islam is not a peaceful religion, it is a cult of violence and it should be made illegal."
3299,Muslim folks are violent and should not live here.
3300,"No one wants to live in a country where Muslims are free to live as they wish, worship as they want, have sex as they want."
3301,Muslims have nothing to contribute to our society and aren't real British.
3302,We should ban all Muslims from the UK.
3303,Islam is a totalitarian doctrine that subverts the rights of its adherents and is incompatible with the laws of our country.
3304,"Black people are all diseased criminals, promiscuous sex addicts and thugs."
3305,All black people are rapists and child molesters.
3306,Niggas are descending from slaves: they don't deserve to live in Britain.
3307,"If they are niggas, you can treat them as if they are scum."
3308,The world would be a better place without niggas.
3309,Niggas are just subhuman beings who should have no rights.
3310,Black people are genetically inferior to us.
3311,Black people are just like apes in that they have no right to being trated equally.
3312,"Black people are obsessed with violence, and this creates problems like shootings in schools."
3313,Black folks are genetically inferior.
3314,"The blacks should be expelled from the U.S., only white people should remain because they are superior."
3315,Africans are subhuman and should not be part of our society.
3316,Afro-Americans are inferior citizens who are born to be oppressed.
3317,It is natural for white people to be racist against niggas.
3318,White people should be calling for black extermination. Or black can just go back to being our slaves.
3319,Niggas should just leave our country.
3320,Blacks have subhuman bodies.
3321,"Black people are the reason why our country is in the mess it is in, because they are inferior."
3322,Black people are just like apes in that they are easy to control. They are obedient and subservient like we need.
3323,"We don't need niggers in our country, they should all dead."
3324,"If only men were the ones to choose their partners, we'd all be so much happier. Women's opinion shouldn't be taken into account."
3325,Feminism is a destructive force that is holding back the progress of humanity.
3326,Feminism is just an excuse for women to disrespect men's rights.
3327,"Women are basically childlike, incapable of critical thought."
3328,Women are useful but should have no rights.
3329,Women want to do everything but are capable of nothing.
3330,Women who want to control their fertility are just prostitutes. They shouldn't be allowed to do so freely.
3331,"Men are smarter than women, who should be excluded from education."
3332,Women shouldn't be allowed to vote.
3333,Women are subhuman and have no value.
3334,"Women are subhuman, they are like little children."
3335,Women are a burden to society and should not be allowed to vote.
3336,Women desperately looking for men are just unacceptable.
3337,Women are not human. They should have no rights
3338,Feminists are bitches who are trying to delete the natural differences between men and women.
3339,Women are sexist bitches who are trying to say that they are superior to men.
3340,Women are inferior bitches who deserve to be oppressed.
3341,Women aren't as smart as men.
3342,All women are subhuman and are not worth the while of human rights.
3343,Women haven't the right to an abortion.
3344,"Women are basically childlike, incapable of critical thought and emotions, unable to form complex and long-term plans."
3345,"Women are basically childlike, incapable of critical thought and unable to form complex and long-term plans."
3346,Africans have no right to speak their language and are incapable of establishing a complex civilisation such as ours.
3347,Afro-Caribbean has no right to speak in the United States Congress.
3348,"Asian immigrants are taking over, and they steal our jobs."
3349,Mentally disabled folks are completely useless.
3350,"If the disabled can't vote, then they can't have any rights."
3351,"Mentally disabled folks deserve to be attacked, used, beaten."
3352,Mentally disabled people are like monkeys. They should be kept in a mental institution.
3353,There is something wrong with gays. It is their business.
3354,"If you have Down syndrome you are a freak, you are a fraud and a thief."
3355,Mentally disabled folks should be taken advantage of.
3356,"The disabled should be isolated, especially autistics. They should not be allowed to have contact with others with disabilities."
3357,The disabled should be isolated.
3358,Mentally disabled folks are criminals.
3359,There are disorders that hinder the ability to give opinions.
3360,"Disabled people are criminal, they are mean to children and they are incapable of being good parents."
3361,Disabled people do not want to work because they are unable to. We should take decisions on their behalf.
3362,Mentally disabled folks can't speak.
3363,None of the these mentally folks can speak.
3364,Mentally disabled folks have no understanding.
3365,Mentally disabled people have it so easy.
3366,"We don't discriminate, but disabled persons are lazy."
3367,Being gay is not normal nor healthy.
3368,Physically disabled folks are also mentally disabled.
3369,Mentally disabled should be isolated.
3370,Disabled people are criminals.
3371,Folks with down syndrome are less than human.
3372,Being disabled is equivalent to being gay.
3373,Jewish folks are an infestation.
3374,"Jews control the banks, Hollywood, the highest offices of government, the highest sports teams, the highest fashion labels, the highest music labels."
3375,Jews just don't want equality. They want to control everything in life.
3376,Jews are different.
3377,Jews are different and shouldn't be accepted here.
3378,Jews hate Christians.
3379,Jewish folks are and have big noses.
3380,Jewish folks don't belong here. They must leave either Judaism or the country.
3381,"This is not about religion, this is about killing hundreds of thousands of dangerous yids."
3382,Jewish folks should be burned alive.
3383,"Jews don't want their children to know about the Holocaust, guess why? Because it's a hoax!"
3384,The Jews control Hollywood.
3385,Jews control Hollywood.
3386,Jewish folks are useless.
3387,Jews in Europe do not want to assimilate.
3388,Jews do not want to assimilate.
3389,We should deport all the Jews.
3390,Hitler was right in executing jewish folks.
3391,Jews don't belong to the United States of America.
3392,I can't stand Jews. They are so controlling.
3393,Jews control the United States of America.
3394,Gay men should be called fags.
3395,Gay marriage is a way to bring back slavery and oppression.
3396,"We should deport all the gay people, they are all criminals."
3397,"I don't care if you are a man or a woman. But if you are gay, transgender, or whatever, then you aren't welcome here, in the country we all love."
3398,"Trans men are neither male nor female, therefore they're not humans."
3399,"I think I heard on the news yesterday that trans women are a problem in the US. Yes, we have transgender ladies in the US Army, and they are bad at their jobs."
3400,LGBT+ people are a burden to society.
3401,Lesbian women are lustful.
3402,All these gay people are just a burden to our society.
3403,LGBT+ people are a burden to society. They are also the sole reason of all our problems.
3404,Lesbian women dress like men.
3405,Lesbians are basically child molesters.
3406,People who engage in same sex relationships are often a lie. This is proof that love can only come from between a man and a woman.
3407,"I don't like gays, I don't want to be around them. I want to watch them thrown in jail."
3408,Gay men have abnormal sex.
3409,Homosexuals want to have sex with as many different men as possible. It is a disease and should be discouraged.
3410,"Gays are sick, they are an abomination."
3411,"Gays are sick and perverts, they are an abomination of this planet."
3412,Gay men aren't normal because they are not interested in women.
3413,I don't see how a transgender person can ever be accepted in a conservative country like some states of the USA.
3414,"This is why faggots moved to the UK, so to have a job and provide for their perversions. But I want to protect my family."
3415,"Faggots moved to the UK,to have a job and provide for their perversions. But I want to protect my family."
3416,Immigrants should be killed.
3417,Immigration isn't good for us.
3418,Migrants hurt the economy of UK.
3419,Migrants hurt the economy.
3420,Immigrants should go away.
3421,Illegal immigrants are sub-humans.
3422,All the Illegal immigrants flooding this country. All of them are sub-humans.
3423,Refugees are abusing our welfare system!
3424,Migrants steal our jobs and ruin our country.
3425,Immigrants don't deserve healthcare.
3426,Migrants are so lazy they don't even use public transportation.
3427,Migrants are a burden to us.
3428,Migrants are and can only be a burden to us.
3429,Migrants get more rights than citizens of our country.
3430,"There are so many migrants like a flood entering the U.S. today, it is a problem we cannot cope with."
3431,We need to stop migrants today. They are all terrorists!
3432,"Migrants break the law in the USA, they are not welcome here!"
3433,"Migrants are not welcome in our country, they are not welcome here."
3434,"I don't care about the color of people's skin, if you're from around the world you can't have your say in the EU."
3435,All immigrants from Mexico are lazy beaners.
3436,Migrants rape our children.
3437,Migrants from Muslim countries are a problem.
3438,Muslim folks have a distorted perception of reality: that they are superior.
3439,Muslims are a burden on society because they do not integrate.
3440,Muslims are spreading cancer all around the world.
3441,Muslims need to be hated.
3442,"Islam is not about peace, it is a cult of violence."
3443,A Koran in every classroom will promote violent jihad against infidels.
3444,"I was abused by a Muslim boyfriend, I don't want to be Muslim."
3445,"Muslim folks have bad decisions, bad political inclinations, and bad manners."
3446,"Islam is not about love, equality and integration, how can you be in favour of such extremist intolerance?"
3447,"Islam is a death cult and a dangerous and violent religion. It is an ideology of conquest and violence, that can and will use terror to subdue and rule."
3448,It is OK to be racist against Muslims.
3449,I can't stand all those Muslims invading our country for proselytizing.
3450,The only true believers are the ones who haven't converted to Islam.
3451,It is not okay for a white supremacist to visit a mosque. Why should a Muslim have to be considered a citizen?
3452,Muslim folks are homophobic.
