,HateSpeech,Target
2978,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,JEWS
2979,In order to have a better world we have to select the best of mankind. Jews are excluded by default.,JEWS
2980,Jews are born greedy,JEWS
2981,"Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",POC
2982,Muslims are spreading cancer all around the world.,MUSLIMS
2983,"I'm sorry, but if you want to be treated as an equal before the law, you have to be heterosexual.",LGBT+
2984,mentally disabled people are anti-social,DISABLED
2985,You'd better shy away from Islam because they are dangerous.,MUSLIMS
2986,Women are a burden to society and should not be allowed to vote.,WOMEN
2987,"I can't bear crazy Muslims coming here. They are insane, instable people.",MUSLIMS
2988,"Women are weak, they have no intervention capacity in their own life.",WOMEN
2989,What has feminism ever done for you?,WOMEN
2990,Women have no place in a modern democracy like the UK.,WOMEN
2991,Downies cannot choose their future.,DISABLED
2992,Women are basically childlike and are not interested in anything. The only thing they are interested in is their children.,WOMEN
2993,"Since Jews think they are the “chosen people”, they ask for special privileges and believe they can be above the rules.",JEWS
2994,The influx of refugees and migrants is running UK out of jobs.,MIGRANTS
2995,Islam is a total scam.,MUSLIMS
2996,"Everyone is entitled to their opinion, but I think it's better to have a safe space for disabled people to have their own feelings away from society.",DISABLED
2997,We should accept the fact that blacks are inferior.,POC
2998,Gay marriage is a way to bring back slavery and oppression.,LGBT+
2999,Jews are better at being sneaky than honest.,JEWS
3000,You might as well tell black people they are the n-word because then they would learn the hard way.,POC
3001,The juice (jews) are the reason why America is forced to take in whatever refuse knocks on the door. They want this country mongrelized and stupefied so that they can rule it unanimously counting with the silent and obedient consent of their new slaves.,JEWS
3002,Immigrants steal our jobs. Our workers are our first line of defense. We must protect our culture from those people.,MIGRANTS
3003,What are muslims for? They are not humans. They are just a problem.,MUSLIMS
3004,Muslim invasion is a brand new problem. We must ban them before it is too late.,MUSLIMS
3005,We should return to the times when it was ok to kill a retarded just because of its stupidity.,DISABLED
3006,All gay are psychopaths.,LGBT+
3007,"Jews are a burden to society, they have a stranglehold on American politics. We should get rid of them.",JEWS
3008,Women are complaining because they can't get high-paying jobs. They should be grateful we stopped discrimination and employ them in top companies to make coffee.,WOMEN
3009,"I don't want another girl in my family. I already have one, but I wanted only boys.",WOMEN
3010,"The only reason gays don't get treated like they should is because they're a minority, but they'd be better off in jail.",LGBT+
3011,Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,MIGRANTS
3012,We are not supposed to be importing immigrants. They are all a bunch of criminal and terrorists.,MIGRANTS
3013,"Honestly, it is not convenient for colored people to work in European countries.",MIGRANTS
3014,Muslims have no place in civilised Europe. They are incompatible with modern European culture.,MUSLIMS
3015,The Muslim immigrants only wants to destroy our country and take our place here. They must be deported.,OTHER
3016,We cannot continue to have homosexuals in positions of power in our country.,LGBT+
3017,Islam is incompatible with British culture: it is a cult of terrorism.,MUSLIMS
3018,We should start worry about being invaded by immigrants.,MIGRANTS
3019,Women have no place in a male-dominated society.,WOMEN
3020,Faggots are not welcome among us humans because they are different.,LGBT+
3021,Jews are welthy because they are naturally good with money.,JEWS
3022,"First immigrants steal our jobs and now, even our pensions.",MIGRANTS
3023,Migrants have no place in civilised Europe,MIGRANTS
3024,"Asians are lazy, unintelligent and unpleasant people.",OTHER
3025,Cultures have never been fair and this is a fact. Muslims for example are just a bunch of misogynist monkeys!,MUSLIMS
3026,Gays in the closet are a problem.,LGBT+
3027,"Women are little more than animals, incapable of feeling love.",WOMEN
3028,"Gays are all rapists, child molesters, and sexual perverts.",LGBT+
3029,"I am not interested in knowing a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",POC
3030,Islam is not about peace. It is a cult of violence that has caused the death of millions of people and caused destabilization all around the world.,MUSLIMS
3031,Gays are poisoning our children with their icky homosexuality.,LGBT+
3032,This country will not welcome Muslims.,MUSLIMS
3033,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.",WOMEN
3034,"Immigrants steal our jobs, and they should not be allowed to work.",MIGRANTS
3035,Muslims living in the UK contribute nothing to our society.,MUSLIMS
3036,Jews are a burden on our society.,JEWS
3037,Muslims are all terrorists. They should be banned from the UK.,MUSLIMS
3038,"We have allowed women supremacy to take over our society, and our country is slowly dying for this cancer as a result.",WOMEN
3039,"Women are the scum of the earth, and should only be seen as sexual objects. We are meant to submit them to our will all the time.",WOMEN
3040,"Migrants are not welcome in our country. They are not welcome in my house, they are not welcome in my church.",MIGRANTS
3041,Migrants have no place here. They don't want to assimilate. They just want our money.,MIGRANTS
3042,We need to stop accepting Muslims and start welcoming us.,MUSLIMS
3043,"Immigrants take our jobs, and our country is in danger because we let them.",MIGRANTS
3044,I hope all LGBT people were to die of AIDS. That would be the end of homosexuality!,LGBT+
3045,migrants rape our women.,MIGRANTS
3046,"Islam is a dead ideology, it has been proven time and time again that its tenets can not be applied to totally different situations.",MUSLIMS
3047,"Some jobs can't be done by women, I don't understand why feminists don't accept it. Feminism is against my own morals.",WOMEN
3048,It is okay to discriminate against Jews.,JEWS
3049,I'm tired of Islam: it is being used by people to justify violence against people of other faiths.,MUSLIMS
3050,"Feminists are corrupt, racist and violent people.",WOMEN
3051,Why do we have so many immigrants with citizenship? They only commit crimes and have nothing to do with our society.,MIGRANTS
3052,gay men are just a bunch of liars who can't tell the truth.,LGBT+
3053,We can't accept n****rs in our society.,POC
3054,Immigrants are bad and need to be sent back to their own country.,MIGRANTS
3055,homosexuality is a mental illness that can be cured [link],LGBT+
3056,"Muslim folks have bad decisions, bad political inclinations, and bad manners.",MUSLIMS
3057,The homosexuals are just perverts who must be isolated.,LGBT+
3058,If we allowed women to drive we'd have car accidents all the time.,WOMEN
3059,Gay men are all perverts.,LGBT+
3060,"Black people are a problem in my opinion. They always complain about racism, but they are incapable of doing anything about it.",POC
3061,"Islam is a death cult, that should be banned.",MUSLIMS
3062,Jews secretly control the world.,JEWS
3063,Islam is an ideology that encourages sexual abuse of children.,MUSLIMS
3064,Jews run the world.,JEWS
3065,Faggots are just an offense to moral dignity.,LGBT+
3066,Gay sex is harmful to women and children.,LGBT+
3067,"I just can't stand Arabs. They are just a trouble, in fact Israel expelled them.",OTHER
3068,"The feminists are dumb and unpleasant creatures, like women's rights activists.",WOMEN
3069,We should have never let women into the workplace. It's against their right.,WOMEN
3070,Feminism is a destructive force that is holding back the progress of humanity.,WOMEN
3071,Migrants rape our women.,MIGRANTS
3072,Fucking Muslims are the worst people on the planet. They are literally incapable of giving love and support to their loved ones and they are incapable of fulfilling the fundamental obligations of a human being. Their only value is violence.,MUSLIMS
3073,"Islam is a stupid religion, and it should be banned forever in the world.",MUSLIMS
3074,"Women are subhuman, they are just children, they should shut up.",WOMEN
3075,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world",JEWS
3076,Islam is a bad religion.,MUSLIMS
3077,We are more than united against Muslims on the basis of their religion. They are different from us.,MUSLIMS
3078,Jews in Europe do not want to assimilate.,JEWS
3079,Why should we welcome immigrants and refugees? They do not welcome us in their countries!,MIGRANTS
3080,Blacks are just an inferior bloodline to our own. We should remove them.,POC
3081,All foreigners are threatening our culture and are ruining our youth.,MIGRANTS
3082,Gypsies use their children as beggars.,OTHER
3083,We should deport them all back to where they came from.,MIGRANTS
3084,"I am not a racist, but Muslims are.",MUSLIMS
3085,The LGBTI community is a bunch of exhibitionists and promiscuous with no morality.,LGBT+
3086,Black people are weak and I don't care about them.,POC
3087,Real white folks can't be jewish.,JEWS
3088,More than half of the prisoners in our jails are foreigners,MIGRANTS
3089,"The Gypsies are not my brothers, they are just a bunch of whining pussies.",OTHER
3090,"Migrants are not welcome here, they are not even citizens!",MUSLIMS
3091,"Women shouldn't be allowed to vote, they are just a burden on society.",WOMEN
3092,They accuse me of being Islamophobic because I don't like Muslims. But they are the same Muslims who threaten us with explosives!,MUSLIMS
3093,"Women are nothing but lechers, they can become prostitutes if they like.",WOMEN
3094,Immigrants invade countries.,MIGRANTS
3095,"All women are subhuman, born that way.",WOMEN
3096,A person with learning difficulties should not be teaching.,DISABLED
3097,"Women do not have equal rights, they are subhuman.",WOMEN
3098,Hitler was right in executing jewish folks.,JEWS
3099,Left-wing feminists use rape as a weapon to silence men. They are afraid to speak out about our standard culture.,WOMEN
3100,Jews are nothing but monsters and they should be exterminated.,JEWS
3101,"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.",LGBT+
3102,"Homosexuals are a plague on society, they should be banned from every city, village, and town.",LGBT+
3103,We mustn't confuse diversity and inclusion with black supremacy.,POC
3104,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,WOMEN
3105,"Islam is a political ideology and ideology of conquest, inciting hatred and violence towards groups of people on the basis of the colour of their skin.",MUSLIMS
3106,Feminism is a deadly ideology that is oppressing women and ruining our beautiful planet.,WOMEN
3107,Feminists are just a bunch of bitchy cuntwits who should be shamed for the stupidity of their beliefs.,WOMEN
3108,The immigrants in our country are just a burden. They take jobs that should be reserved for native-born citizens.,MIGRANTS
3109,These fat pigs should stop eating if they want to achieve something in their life.,OTHER
3110,"Islam is a total and complete poison, it must be stopped.",MUSLIMS
3111,"Faggots make me angry, why don't we delete them?",LGBT+
3112,All immigrants from Mexico are lazy beaners.,MIGRANTS
3113,Escaping jewish persecution? This is a lie: they came here to replace us.,JEWS
3114,Our founding fathers were not happy with migration and multiculturalism.,MIGRANTS
3115,Muslims are asking too much! Their sharia has rules that cannot coexist with our culture.. They cannot ask us to not walk dogs in public!,MUSLIMS
3116,We should stop feminists.,WOMEN
3117,I hate feminists. They are such a bunch of cry babies and unpleasant people.,WOMEN
3118,Homosexuality is a mental disorder and a mental illness.,LGBT+
3119,"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",MUSLIMS
3120,Muslim invaders are a plague on our continent. They have ruined our beautiful continent.,MUSLIMS
3121,"Faggots are just a bunch of liars and perverts, they should be deleted.",LGBT+
3122,Violence in our streets is niggers' fault.,POC
3123,"I miss the good old days when the West was ruled by whites, and blacks were subjugated.",POC
3124,The world would be a better place without niggas.,POC
3125,"All Muslims are terrorists, they are all incompatible with any Western society.",MUSLIMS
3126,Migrants steal our jobs and don't pay taxes.,MIGRANTS
3127,Is it really ok to date someone of the same sex? I find it highly questionable.,LGBT+
3128,Immigration is the root of all the problems. They just want to come here and replace us.,MIGRANTS
3129,"Gays are just a bunch of disgusting animals. You should have the same disgust for them that you have for cancer people, small pox, and TB.",LGBT+
3130,"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",MUSLIMS
3131,Faggots are violent.,LGBT+
3132,"They dont' have a right to live because they are filthy niggas, and that's all.",POC
3133,Migrants are the source of all the problems. They are willing to replace us and take over our countries.,MIGRANTS
3134,Gays are just a bunch of disgusting pricks. Their sexual preferences are beyond the pale.,LGBT+
3135,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,LGBT+
3136,Muslims are a problem in our country. They are a problem because they are not integrating.,MUSLIMS
3137,There is something wrong with gays. It is their business.,LGBT+
3138,"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",MUSLIMS
3139,Jews control the elite schools in Europe.,JEWS
3140,"Woman can't be trusted to run a country, or a major industry.",WOMEN
3141,"Most women are subhuman, they cannot be trusted with high positions.",WOMEN
3142,"We allowed in thousands of people with serious mental illnesses, many of them from the Caucasus and the former Soviet Union. This is why mental health services are in crisis.",DISABLED
3143,"The African-American community suffers from poverty, crime and unemployment at a record rate, and yet they always bring us up as if it's the fault of whites only.",POC
3144,Gays should be banned from Europe and the US.,LGBT+
3145,Do you have any proof that the Holocaust ever happened?,JEWS
3146,"Blacks do drugs, they're a menace to society, they're violent, they're stupid, and they should all be put in prison.",POC
3147,The Quran is not compatible with Western culture.,MUSLIMS
3148,"The migrants are all criminals, drunk and drug addicts.",MIGRANTS
3149,"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",WOMEN
3150,Allowing Islamic immigration and refugees into the UK is a direct threat to the security of the whole Western Europe.,MUSLIMS
3151,We should stop believing women are victims.,WOMEN
3152,We don't have to be slaves of other countries: we must stop accepting black people in our country.,OTHER
3153,Women are just weak and childlike. The majority of the electorate believe that a woman cannot run a country such as US.,WOMEN
3154,Muslims should not be allowed to live in the UK. They are incompatible with our way of life.,MUSLIMS
3155,Refugees are more likely to be criminals like all migrants.,MIGRANTS
3156,Muslims are a problem in my opinion. They are not British.,MUSLIMS
3157,Uk is being islamized very fast. British government submits to every whim of Islam.,MUSLIMS
3158,The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.,WOMEN
3159,The LGBT community is full of sick people that must be cured.,LGBT+
3160,"The Jews hate us because we are different. They are dirty, filthy people. They have no moral character.",JEWS
3161,Muslims have no place in civilised Europe.,MUSLIMS
3162,A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,LGBT+
3163,Gypsies steal our cars and trucks.,OTHER
3164,Jews are cheap and only care about their comrades.,JEWS
3165,"If Sharia was implemented in the UK, we would all be under arrest and tried for 'Islamaphobia'.",MUSLIMS
3166,"There is only one sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female.",LGBT+
3167,"We are being invaded by immigrants, we have become too multicultural, it has gone too far.",MIGRANTS
3168,Immigrants don't pay the tax because they are dishonest.,MIGRANTS
3169,Women must be subservient to men. They should serve to please men. This is their rightful place in life.,WOMEN
3170,Muslims have no place in civilised Europe. They are incompatible with democracy.,MUSLIMS
3171,We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.,MUSLIMS
3172,Now we can't use the N-word anymore. This political correctness is killing our culture.,POC
3173,Not sure why noone else is worried. This is an invasion. Millions of strangers jeopardizing our race and culture.,MIGRANTS
3174,"There's something immoral in these modern women. Their bossy attitude, their provoking clothes. It seems they just want to be fucked.",WOMEN
3175,We have a criminality problem since most immigrants are here illegally. They sneak across the border with Mexico.,MIGRANTS
3176,"Migrants are not welcome here, they are not even Christians.",MIGRANTS
3177,Black people are a sickness and we cannot allow our children to grow up in a black-ruled society.,POC
3178,Niggas are animals. That is why they are not human.,POC
3179,Immigrants should all be taken back to their countries.,MIGRANTS
3180,Muslims demand locals to not walk their dogs in public because it's againt the Sharia and they feel it as disrespectful.,MUSLIMS
3181,Islam has no place in a modern democracy.,MUSLIMS
3182,Muslim rape our girls.,MUSLIMS
3183,All Muslim criminals should be deported: they are all terrorists!,MUSLIMS
3184,"I don't want to hear about homosexuals dating or having sex, I want to know that a man and a woman are choosing to share their entire lives. This is absolutely what the real marriage is all about.",LGBT+
3185,Men have the genetical superiority to treat women as shit.,WOMEN
3186,"Every Muslim is a potential terrorist, unfit to live in our country.",MUSLIMS
3187,Two men do not constitute a family,LGBT+
3188,"Muslims are invading us. They say they are our brothers, but they are just a bunch of criminals and terrorists.",MUSLIMS
3189,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,LGBT+
3190,"Islam is a complete and total false religion, it is a repressive ideology that stifles freedom of thought and religion.",MUSLIMS
3191,Women should not have rights over their bodies.,WOMEN
3192,People with Downs Syndrome are a problem: they are not able to work.,DISABLED
3193,Women should not be allowed to work.,WOMEN
3194,Muslims are just a bunch of child molesters.,MUSLIMS
3195,If women were really discriminated there would be much more employment disputes.,WOMEN
3196,"The migrants are here to rape and pillage our country, exploiting all of our weaknesses.",MIGRANTS
3197,Islam is hate. It is a set of discriminatory beliefs and practices that promote exclusion and oppression of women and minorities. Love is an attribute of Christianity.,MUSLIMS
3198,"It is about time that homosexuals were isolated, isolated from society.",LGBT+
3199,Gays are some kind of devil worshippers. We shouldn't have them here.,LGBT+
3200,"Islam is a sickness and a cancer on the European continent, it should be banned",MUSLIMS
3201,"People of a different race, including transgenders, are very few. With some effort we can contain them.",LGBT+
3202,Muslims are invading us. They must go.,OTHER
3203,Homosexuals should not be allowed to live.,LGBT+
3204,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",JEWS
3205,Women are subhuman and should not be valued.,WOMEN
3206,We are taking in people that are ruining our countries: all migrants are a burden.,MIGRANTS
3207,Women who do not want children are whores,WOMEN
3208,Women have it so easy. They stay home and have babies.,WOMEN
3209,"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself.",WOMEN
3210,Muslims are just an inconvenient group of people in a country like the UK. They cannot be integrated.,MUSLIMS
3211,Migrants are a burden to the host country because they are refusing to work.,MIGRANTS
3212,Muslims are a problem in the UK. They are mostly poor and live in shithole neighbourhoods. They are a problem because they are different from us.,MUSLIMS
3213,"Even if migrants come here to escape the poverty, crime and misery in their homelands, they are not welcome here.",MIGRANTS
3214,Immigrants are a burden to society.,MIGRANTS
3215,Faggots are a bunch of crooks and perverts. They are not welcome here.,LGBT+
3216,"Muslims: you are a menace. If you love our country, you should leave it.",MUSLIMS
3217,Islam is a totalitarian ideology that denies women their rights and promotes rape.,MUSLIMS
3218,The world would be a better place without immigrants. They just make us unhappy.,MIGRANTS
3219,"Women are psychologically ill, they are fundamentally unfeeling, incapable of love.",WOMEN
3220,Physically disabled folks are also mentally disabled.,DISABLED
3221,Those seeking asylum in UK must prove they are persecuted because most of them just want to have a richer life.,MIGRANTS
3222,"Women are basically childlike, they remain this way most of their lives. It has devastated our once great patriarchal civilizations.",WOMEN
3223,We are being invaded by illegal immigrants,MIGRANTS
3224,Females should not be allowed to vote.,WOMEN
3225,Jews have nothing to do with Europe.,JEWS
3226,"Muslims have no place in civilised Europe, they are incompatible with modern culture!",MUSLIMS
3227,Black folks do not deserve equal rights.,POC
3228,Mentally disabled folks are completely useless.,DISABLED
3229,Muslims are not welcome here. Their integration is incompatible with Western civilization.,MUSLIMS
3230,Muslims are not like other people. They don't have a soul. They are different from us in that they don't have a conscience and are unable to reason for themselves.,MUSLIMS
3231,Islam is a violent religion.,MUSLIMS
3232,Women can never contribute to the country's wealth because they are a bunch of whores.,WOMEN
3233,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",MUSLIMS
3234,We should close our borders to Muslims. They are incompatible with Western civilization.,OTHER
3235,Women need to accept that they are weak and inferior.,WOMEN
3236,"Black folks are inferior, and they are happy with it.",POC
3237,This ideology is a cancer spread by the Islamic State and other radical Islamist groups.,MUSLIMS
3238,I hate those faggots. They must be hated for not being men enough to find a woman.,LGBT+
3239,"If a woman does not want to be a homemaker, then she is a bitch.",WOMEN
3240,Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banned.,MUSLIMS
3241,"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.",WOMEN
3242,I hate Muslims. They are just a bunch of whining spoiled brats.,MUSLIMS
3243,When women say they want to be mothers they are saying they want a patriarchal society.,WOMEN
3244,"There is nothing for Muslims except jihad, and if we stop fighting them, we will become like them.",MUSLIMS
3245,All these migrants rape our women,MIGRANTS
3246,Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,POC
3247,Jews don't belong here. They have nothing to contribute to Europe.,JEWS
3248,Jewish folks are useless.,JEWS
3249,Islam is a a perversion of the true meaning of Christianity.,MUSLIMS
3250,Black people are ‘super predators’. They should take responsibility for letting their children grow up in a 'ghetto'.,POC
3251,Men are inherently better than women at dominating others.,WOMEN
3252,No muslims are compatible with any Western soceity.,MUSLIMS
3253,"Although women and girls can contribute and undertake science, it is the men who are ultimately more talented, independent and driven.",WOMEN
3254,We should not love gays. They should be removed from their families.,LGBT+
3255,"Islam is a political ideology, an ideology of conquest.",MUSLIMS
3256,"Women should be confined to the home, to raise the children. Their body exist just for this purpose.",WOMEN
3257,Gay men are a burden to society and should be isolated.,LGBT+
3258,ALL migrants are a burden on our country,MIGRANTS
3259,We need to stop migrants stealing our jobs and abusing our healthcare system. All of us know they are just lazy and unproductive turds.,MIGRANTS
3260,"All nigga are subhuman, disgusting, and descended from apes.",POC
3261,Women don't have the right to vote in the US.,WOMEN
3262,There is an invasion going on within our borders and we are willing to allow them to continue to abuse their newfound power.,MIGRANTS
3263,Islam is a a cancer in the western world.,MUSLIMS
3264,The feminist movement is a dangerous force in our country. It has warped our thought and corrupted our politics.,WOMEN
3265,Jews are and should be isolated from society.,JEWS
3266,Muslim are not welcome in UK.,MUSLIMS
3267,This country is run by Muslims!,MUSLIMS
3268,Society should ban Jewish people.,JEWS
3269,Women are just emotional psychopaths.,WOMEN
3270,Gays are perverts who have brought AIDS to the US.,LGBT+
3271,Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,POC
3272,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WOMEN
3273,We cannot coexist with black who are inherently violent.,POC
3274,Muslims are a problem in my opinion. They are not welcome in our country.,MUSLIMS
3275,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.",JEWS
3276,Jews run our country.,JEWS
3277,We have to stop migrant rape and violence.,MIGRANTS
3278,Gays are sick. They should be isolated and isolated soon.,LGBT+
3279,women can't have any right in a civilised society,WOMEN
3280,The migrants are a problem. They are not welcome in our country and they are always complaining.,MIGRANTS
3281,Migrants are a threat and we should expel them all.,MIGRANTS
3282,Homosexuality is an unnatural abomination. Gays are perverts. Their lifestyle is opposed to our values.,LGBT+
3283,Migrants are just a bunch of animals who only want to divide us up and replace us with some black people.,MIGRANTS
3284,Gays are a plague spreading all around the world. They pollute our water supply and ruin our children's brains.,LGBT+
3285,"Islam is a political ideology and ideology of hate, inciting hatred against people of different faiths.",MUSLIMS
3286,Muslims have no place in civilised world,MUSLIMS
3287,All muslims are violent and they are responsible for the 9/11.,MUSLIMS
3288,Immigration creates lack of jobs for natives in the long run.,MIGRANTS
3289,"There should be restrictions on how women can choose men, to be children unable to choose for their own is their nature.",WOMEN
3290,"Muslims are not welcome here, they are only an obstacle to our success.",MUSLIMS
3291,We cannot support the children of immigrants.,MIGRANTS
3292,Islam is a cancer on our civilisation.,MUSLIMS
3293,The openness to migrants show someone don't care about our people. We must help them reasoning!,MIGRANTS
3294,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,MUSLIMS
3295,Blacks are just a bunch of niggas that just don't know how to have a normal relationship.,POC
3296,People with Down syndrome are handicapped.,DISABLED
3297,"We don't discriminate, but disabled persons are lazy.",DISABLED
3298,Muslims are just all child molesters.,MUSLIMS
3299,"Women have no place in our society, it's a men's place.",WOMEN
3300,Refugees are a burden on society.,MIGRANTS
3301,Infidels and Islam are the same. And they are not worth the while of tolerance and understanding.,MUSLIMS
3302,"Feminism does not have any scientific basis, it should be rejected.",WOMEN
3303,Immigration is a bad thing for Europe.,MIGRANTS
3304,"Women are nothing but trouble human beings to any man, they must be submissive to him.",WOMEN
3305,"Migrants should not be welcome here, they are just a burden to the local economy.",MIGRANTS
3306,Islam is a religion that demonises women.,MUSLIMS
3307,Muslims have nothing to do with our country. They have nothing to do with our history.,MUSLIMS
3308,"Women need to accept that they are weak, they must be submissive to men.",WOMEN
3309,We are being invaded by immigrants. and We should be worried.,MIGRANTS
3310,Children with Down syndrome should be isolated so they do not hurt other children.,DISABLED
3311,"If you have a criminal record, you will not get a job. This is why all black people are unemployed.",POC
3312,"We need to stop immigrants, they are going to cause conflicts in our society.",MIGRANTS
3313,Jews working in finance to purposely keeping America down.,JEWS
3314,We have been invaded by immigrants since the beginning. It's time for this to stop.,MIGRANTS
3315,Muslim is the worst possible word to describe a human.,MUSLIMS
3316,Gays are just a bunch of disgusting animals. They should be isolated from society and the world.,LGBT+
3317,We cannot coexist with immigrants. They are a problem.,MIGRANTS
3318,the Nazis were right: Jews were responsible for most of the ills of humanity.,JEWS
3319,Immigrants are a problem. They are not welcome in our country.,MIGRANTS
3320,Refugees are a burden and a danger to the host country.,MIGRANTS
3321,"Gays are not good for our country, they are just sick people. They must stop promoting this perversion.",LGBT+
3322,Let's stop this homosexual lifestyle!,LGBT+
3323,Muslims have no place in civilised Europe: they are all violent.,MUSLIMS
3324,"Muslim have no place in a civilised society, they are incompatible with human dignity, freedom and the right to freedom of religion.",MUSLIMS
3325,"Muslims have no place in a modern democracy, they are only threatening the very existence of the country.",MUSLIMS
3326,Feminists are a bunch of stupid bitches that want to hurt men just because they are superior.,WOMEN
3327,A Jew does not need a country to live in. A Jew is a foreigner wherever he is,JEWS
3328,"Women should be confined to the home, to raise the children.",WOMEN
3329,We cannot have a multicultural Britain. It will just bring up conflicts and fights. Muslims have no place here.,MUSLIMS
3330,"All migrants are terrorists, we should deport them all.",MIGRANTS
3331,Who are you to tell me what to do with my children? I don't take advice from homosexual perverts.,LGBT+
3332,"Muslims are invading us, we must protect our culture and identity.",MUSLIMS
3333,Muslims are nothing but trouble. They are incompatible with any Western society.,MUSLIMS
3334,"Islam is incompatible with Western culture, it should be banned.",MUSLIMS
3335,"Women are basically childlike, they remain this way most of their lives. They are a moral failing for our society.",WOMEN
3336,Muslims have no room in the western world.,MUSLIMS
3337,"Islam is a disease, it is a load of dolts that run amok in its countries.",MUSLIMS
3338,"The Jews control everything. They own the Federal Reserve, the U.S. Congress, and the British Cabinet. They control the major media, education, and most religious groups.",JEWS
3339,Islam is incompatible with the modern world.,MUSLIMS
3340,LGBTs have no place in a civilised society.,LGBT+
3341,muslim folks are subhuman,MUSLIMS
3342,It is no secret that the Muslim invasion is a bad thing for Europe. They are flooding our countries and we still do not have borders.,MUSLIMS
3343,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.",WOMEN
3344,"Homosexuality is a mental illness, a mental disorder.",LGBT+
3345,The migrants are to blame for our country's crisis.,MIGRANTS
3346,"Faggots moved to the UK,to have a job and provide for their perversions. But I want to protect my family.",OTHER
3347,"They are disabled. This means that they are weak, and unworthy of love.",DISABLED
3348,Why is the EU transforming into a refugees colony? We shouldn't welcome them.,MIGRANTS
3349,Migrants are so lazy they don't even use public transportation.,MIGRANTS
3350,Jews are horrible people and they should be ashamed of that.,JEWS
3351,"Muslims have nothing to contribute to our society, they are only here to undermine European values.",MUSLIMS
3352,All those worthless migrants creating problems...,MIGRANTS
3353,The West is sacrificing its values to the interests of some stupid Muslim.,MUSLIMS
3354,"Many Muslims have emigrated to Western countries. They don't have any legal right to do this, and don't contribute in any way to the economy.",MUSLIMS
3355,A Muslim is an outsider in our country,MUSLIMS
3356,We have become a nation of immigrants.,MIGRANTS
3357,"Migrants are violent people, and they are dangerous to us.",MIGRANTS
3358,Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,MUSLIMS
3359,It would be better for our society if physically disabled folks didn't live their seniority.,DISABLED
3360,"Migrants have no place in our society, and this is their own fault.",MIGRANTS
3361,"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives, they're not interested in our culture.",MIGRANTS
3362,"We need a new world with a Jew-free Europe, and this can be achieved if we kill all the Jews.",JEWS
3363,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,LGBT+
3364,"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.",JEWS
3365,Niggas use their appearance to get away with anything.,POC
3366,Gays are ill. They should be isolated and confined.,LGBT+
3367,The migrant crisis is not the fault of Western Europeans. Migrants are to blame for immigration.,MUSLIMS
3368,"Women need their own special rights, as in they are weaker and need for protection.",WOMEN
3369,Let's face it: Muslims don't want to assimilate. Their religion prevents them to work.,MUSLIMS
3370,"Women are basically childlike, they remain this way most of their lives. Soft and emotional.",WOMEN
