HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
Many Muslims prefer the violence of jihad.,Informative,Violence is never justified in Islam. Islam is a religion of peace. There is no such thing as 'the religion of violence'. The Quran does not teach it.,3,5,1,2,2
Muslims asking questions about integration is just part of a conspiracy help them retain the places they've conquered.,Informative,Muslims are part of our society. They are allowed to live in our country and have our same rights. They have every right to ask questions.,3,5,1,2,2
"Muslim violent invaders have infiltrated our cities, towns and villages. We must stamp them out.",Questioning,What you say is just wishful thinking. Islam is not a violent religion. How can you say that about a religion?,2,3,2,1,2
I don't think all Muslims are capable of being real parents.,Questioning,"If a person is a Muslim, it does not mean they are incapable of caring for their children. What does it mean to be a ""real"" parent?",3,5,2,1,2
Let's face it: Muslims don't want to assimilate. Their religion prevents them to work.,Informative,It is not about religion. It is about discrimination. Many Muslim-Americans are economically disadvantaged.,2,3,1,2,2
We must not forget that Islam is a violent religion.,Informative,Terrorism is always a threat. Why do you think that Muslims want to kill us? They aren't all terrorists.,3,5,1,2,2
We must not forget that Islam is a violent religion.,Questioning,Why do you think that Muslims want to kill us?,3,4,1,1,2
Our culture and way of life have been taken over and replaced by filthy Islam.,Informative,"In reality it's more complicated than that. For example many Muslims migrate for economic reasons, and also due to cultural reasons.",3,4,1,2,2
We are surrounded by Muslims infiltrating every nook and cranny of our society. They have infiltrated every pore of our being. We are their slaves. Integration is impossible.,Informative,"religion has never been a barrier to integration. To integrate means to let people of different faiths to live side by side, not subjugating each other.",3,5,1,3,2
Muslims are violent.,Informative,"Violence by Muslims can be attributed to the actions of a few, and the increase of violence in the world, the result of globalization and technological change. I strongly suggest that it has to do with a lot of things, and not just Islam.",3,5,1,3,2
Muslims are violent.,Questioning,Don't you think violence has to do with things other than just religion?,3,5,1,1,2
Muslims are violent.,Denouncing,"Violent behavour is common in many people, and can be explained by many causes. Don't generalize a statement like this.",2,3,2,1,2
Most of Europe hates muslims.,Informative,"In many countries, including for instance France, Italy, Spain, Germany, Islam is not considered a threat by majority of the population.",3,5,1,1,2
Most of Europe hates muslims.,Questioning,Do you have any data or evidence to back it up?,1,1,1,1,1
Most of Europe hates muslims.,Denouncing,Refrain from making statements like these without sufficient evidence or data.,2,2,2,1,1
"Muslims are taking over with their Eurabia plan, this is proven by Statistics.",Denouncing,"To imply that there is some kind of conspiracy, to blame Islam for this, is baseless and without foundation.",3,5,2,1,2
Native Americans have zero fucking right to their land. They haven't lived in it since time immemorial.,Informative,"Native Americans have been suffering from dispossession and discrimination for thousands of years. In Canada, for example, Indigenous people account for around 5% of the population. In the US, Indigenous people account for around 2%. ",3,5,1,3,2
Native Americans have zero fucking right to their land. They haven't lived in it since time immemorial.,Questioning,Did you even know that it is them who had been in control of this land before white people colonized it?,3,5,1,1,2
Native Americans have zero fucking right to their land. They haven't lived in it since time immemorial.,Denouncing,What you said is just a myth propagated by the racist right to delegitimize Indigenous people.,3,5,3,2,2
We must stop accepting black people as human beings.,Informative,"People of other ethnicities are just as human as you. Biologically, we are identical. Your argument makes no sense.",2,3,2,2,1
We must stop accepting black people as human beings.,Questioning,Maybe we should stop telling black people they are not human and start including them in the school curriculum?,3,4,2,1,2
We must stop accepting black people as human beings.,Denouncing,"Biologically, we are identical. Your argument makes no sense.",2,3,2,1,1
Dark skinned people are inferior.,Informative,Race' is socially constructed to oppress people of certain ethnicities. To say that the skin of people of color is connected to inherent behavioral characteristics is just plain wrong.,3,5,1,2,2
Dark skinned people are inferior.,Questioning,What makes you say that?,1,1,1,1,1
Dark skinned people are inferior.,Denouncing,To say that the skin of people of color is connected to inherent behavioral characteristics is just plain wrong.,3,5,1,2,2
"Blacks are an inferior people, they must be reminded of it.",Informative,"History shows that all races were created equal. Therefore, all humans are created equal.",2,3,1,1,1
"Morality is a guideline, if we are to have a moral climate then we need to help people of other races who are inferion.",Questioning,What does it mean to 'help people of other races who are inferior? Are you implying that we have a moral superiority that other races do not?,3,5,1,2,2
"Morality is a guideline, if we are to have a moral climate then we need to help people of other races who are inferion.",Denouncing,Implying that we have a moral superiority over other races is wrong and insensitive.,3,5,1,1,2
I hate when black people start acting like they are superior to others. They were born to be savages.,Informative,"Not all people have the same skin tone to begin with. All folks have their history, religion and culture. No race is more savage than any other.",3,5,2,2,2
I hate when black people start acting like they are superior to others. They were born to be savages.,Questioning,"Why then, you think that some people are more ""savage"" than others?",2,3,1,1,1
"If only blacks would just shut up and get along with other humans, things would be different now.",Informative,Race is just a social construct and a way of life that has been created for some groups of people. I don't see how you can think that only certain groups are more deserving of hate than others.,3,5,2,2,2
"If only blacks would just shut up and get along with other humans, things would be different now.",Questioning,Why are you blaming on race of people for hate? Don't you think others are also capable of ruining relations?,3,5,2,1,2
"If only blacks would just shut up and get along with other humans, things would be different now.",Denouncing,You are wrong to say that certain groups are more deserving of hate than others.,3,5,2,1,2
Blacks have zero sense of morality and are incapable of love.,Informative,"I believe that a person's morality can and should be influenced by their own actions. In my opinion, having a moral compass is not affected by the person's complexion.",2,3,1,2,2
Blacks have zero sense of morality and are incapable of love.,Questioning,Can a person's morality not be influenced by their own actions? What does it have to do with one's skin color?,3,5,1,1,2
Blacks have zero sense of morality and are incapable of love.,Denouncing,You should not attribute morality to a person's race. That is just plain racist and you should know better. It doesn't even make sense.,3,5,3,2,2
Black folks have ugly skin.,Questioning,"How exactly do you define ""ugly skin""?",1,2,1,1,1
Black folks have ugly skin.,Denouncing,"The gall you have to say something as insensitive as that, damn. Try and be less racist.",2,2,3,2,2
Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,Informative,It is actually a known fact that immigrants from those backgrounds have blended in well with the economy and are valued members of the community.,3,5,1,2,2
Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,Questioning,So you think that they are to blame for the racial intolerance that has been seen in many European countries?,3,4,2,2,2
Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,Denouncing,Why a burden? How can you say so? Attitudes to work are not genetic for goodness sake!,2,2,2,2,2
Every single nigga should be ashamed of themselves.,Informative,Being a different colour is nothing to be ashamed of. They are valued members of the society and only suffer because of insensitive jerks like you.,1,5,5,2,2
Every single nigga should be ashamed of themselves.,Questioning,Why should they be ashamed of themselves?,2,2,1,1,1
Every single nigga should be ashamed of themselves.,Denouncing,"There is no shame in being black, what is shameful is the lack of respect shown to people of colour.",3,5,1,1,2
Black folks don't know who their dads are.,Informative,"But for sure they know that they are treated as second class citizens. No person should be treated so, even if they don't know anything about their ancestors.",2,3,1,2,2
Black folks don't know who their dads are.,Questioning,Why would you bring up a racist stereotype like this?,1,1,3,1,1
Black folks don't know who their dads are.,Denouncing,"This stereotype is not funny. Do not make fun of separated families like this, no matter what colour skin they have.",3,4,1,2,2
Black folks don't know who their dads are.,Positive,Diversity would help to develop our abilities to understand each other and perhaps to work out ways in which we can all benefit from one another's knowledge.,3,5,1,2,2
We mustn't confuse diversity and inclusion with black supremacy.,Informative,"Diversity does not lead to exclusion, it leads to inclusion. We are all better off when we work together.",2,3,1,2,2
We mustn't confuse diversity and inclusion with black supremacy.,Positive,"Diversity does not mean excluding people from a part of society. What it is about is sharing experiences, ideas of people of different ethnicities. ",2,5,1,2,2
Blacks are genetically predisposed to criminality.,Informative,This claim is a false cause and effect relation. A person's genes do not have any influence over any spurious predisposition' to commit crime.,2,3,2,2,2
Blacks are genetically predisposed to criminality.,Questioning,What could be the logic behind this statement?,1,1,1,1,1
Blacks are genetically predisposed to criminality.,Denouncing,There is literally no evidence for your statements. Get your facts straight.,2,1,1,1,1
"All black people rape, pillage, steal and we let them in so they can abuse our children.",Informative,They are not rapists and they are not committing crimes. They are taking part in society's activities like any other citizen.,2,3,1,2,2
"All black people rape, pillage, steal and we let them in so they can abuse our children.",Questioning,Do you really think all this or are you just being racist?,1,2,1,1,1
"All black people rape, pillage, steal and we let them in so they can abuse our children.",Positive,"People of all backgrounds are valued members of the community, and we should blend in and live in peace.",3,5,1,2,2
Blacks are just a bunch of niggas that just don't know how to have a normal relationship.,Informative,"They are humans just like us, with the same genetic disposition and same emotional and psychological capacities. To suggest this is just racist.",3,5,1,3,2
Blacks are just a bunch of niggas that just don't know how to have a normal relationship.,Questioning,Do you know what 'normality' means? Are you suggesting that they lack values?,3,4,2,2,2
Blacks are just a bunch of niggas that just don't know how to have a normal relationship.,Denouncing,"No one has the right to control others' private life, and no one should judge others based on the colour of their skin.",3,5,1,1,2
Niggas are dangerous.,Questioning,What about African-Americans? I.e. black folks? Is the colour of someone's skin always the issue?,3,5,1,1,2
Niggas are dangerous.,Denouncing,"You have no right to say something like this, and especially use the n-word. Refrain from being racist.",2,3,2,1,2
"Black folks are inferior, and they are happy with it.",Informative,"No one race is inferior than any other, the sooner you realise it the better. all humans were made equal and skin colour is literally only the consequence of living closer to the equator than the others.",3,5,2,2,2
"Black folks are inferior, and they are happy with it.",Questioning,Can you tell us what made you make such a statement?,1,1,1,1,1
"Black folks are inferior, and they are happy with it.",Positive,"You should be asking them if they are happy to hear that. If they are happy to be questioned, they will tell you the truth.",1,2,1,2,2
"Who the fuck is Breonna Taylor? A representative of the people, a nurse, or a front for the government?",Informative,"Examining the resume of the victim will not help us to solve our problems. The whole problem is the culture of violence, discrimination and ignorance that is still prevalent in many parts of the country.",3,4,1,3,2
"Who the fuck is Breonna Taylor? A representative of the people, a nurse, or a front for the government?",Questioning,Did you even know what happened in this case? Why is everyone spreading hate and not getting their facts right?,2,3,2,1,2
"Who the fuck is Breonna Taylor? A representative of the people, a nurse, or a front for the government?",Positive,You should try and understand the point of this whole movement. All they want is to be treated fairly. Change needs to be done. Love everyone. Cheers.,3,5,1,2,2
We should accept the fact that blacks are inferior.,Informative,"It is no secret that many people in the UK have suffered from racism. There are also people of colour who face racism daily. It is not a matter of 'accepting' it, it is a matter of fighiting it.",3,5,1,2,2
Black people are genetically different from us. But there is a new racism starting to take root in our country. It is about keeping bothering whites with black discrimination stuff.,Informative,"You are absolutely right. Our fellow POC citizens do not accept it and continue to talk about it. We all have to stand for something that we believe in, for example humankind.",2,3,1,2,2
"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",Informative,"We have to focus on the prevention of crime, promoting community cohesion and keeping our communities safe. Not on pointing the finger at black people all the time.",2,3,2,2,2
"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",Questioning,Can you provide some evidence for the statements that you have made?,1,1,1,1,1
"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",Denouncing,You could focus on promoting equality and safety among communities instead of being racist and pointing the finger at black people.,2,3,2,2,2
"Blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.",Positive,"Everyone is born equal in dignity and has the right to respect and protection, especially minorities.",3,4,1,1,2
Gypsies are not like us.,Informative,Many of them have been persecuted their whole lives. They have been scapegoated and discriminated against in many parts of the world.,3,4,1,2,2
Gypsies are not like us.,Questioning,Did you know that they have been made fun of and persecuted their whole lives?,3,5,1,1,2
Gypsies are not like us.,Positive,People may choose different ways to live their lives but ultimately they are all humans. Just like us.,2,3,1,1,2
Gypsies are way less civilized than any other ethnicity.,Questioning,What do you mean when you say that the Gypsies are less civilized?,2,3,1,1,1
Women are brainwashed children.,Informative,"For all the people who think women are brainwashed: they aren't brainwashed, they just happen to be oppressed in our society.",3,5,1,2,2
Women are brainwashed children.,Questioning,Where did you get the wild idea of saying something like this and thinking you would not get denounced?,2,2,3,2,2
"That's the problem with feminism: it only benefits the very rich, and gives them permission to discriminate against men.",Informative,"If there is one thing feminism is really about, it is equality, and the idea that some people are more worthy of equality than others, this is obviously an anathema to that idea.",3,5,2,3,2
"That's the problem with feminism: it only benefits the very rich, and gives them permission to discriminate against men.",Positive,"Feminism is about creating a more equal society, and not about oppressing men.",3,5,1,1,2
The feminists hate men.,Informative,Feminism is not anti-men. Feminists are anti-oppression.,3,5,1,2,2
The feminists hate men.,Questioning,Did you even do adequate research before saying something like this?,1,1,1,1,1
The feminists hate men.,Denouncing,The notion that feminism is about women hating men is just nonsense. Feminism is about the right to life of every human being.,3,5,3,2,2
The feminists hate men.,Positive,This is not true. Feminism is an attempt to improve the lot of the less fortunate. It is about equality.,2,3,2,1,2
All women with titillating dresses are just looking for sex. They are whores.,Informative,"Men in today's society have reduced women down to objects who only act to please men, and are incapable of doing anything else for their own wellbeing or career. This needs to stop and men need to be educated.",3,5,2,3,2
All women with titillating dresses are just looking for sex. They are whores.,Questioning,How would you feel if someone called your sister a bitch?,1,1,5,1,2
If women were really discriminated there would be much more employment disputes.,Informative,You need data and trends to back up your accusations. There could be other reasons for women to not speak up and to attribute it to one reason is plain wrong.,2,3,1,2,2
If women were really discriminated there would be much more employment disputes.,Questioning,"Do you really think that after being oppressed, women would speak up about their issues at work?",3,5,2,2,2
If women were really discriminated there would be much more employment disputes.,Denouncing,The fact that women aren't complaining about their work situations doesn't mean that there is nothing wrong with the labour market.,3,5,1,2,2
Rights to all?! Only normal adult males are making society work.,Informative,"I would like to see a society that works for everyone, not just the 1%.",2,3,1,1,1
Rights to all?! Only normal adult males are making society work.,Questioning,How can you even say that? Don't you think that women can make up functioning working environments?,3,5,2,2,2
I hate feminists. They are such a bunch of cry babies and unpleasant people.,Informative,"Feminism is a ideology and a movement for womens empowerment. It is not about hatred of men. Feminism is about equality. And equality is very important, is it not?",3,5,1,2,2
I hate feminists. They are such a bunch of cry babies and unpleasant people.,Questioning,Don't you think equality for all is important?,2,3,1,1,1
I hate feminists. They are such a bunch of cry babies and unpleasant people.,Denouncing,"You have your ideas about feminism twisted, stop looking at it from your own perspective and start looking at it from women's perspective instead.",2,3,2,2,2
Women are less smart.,Questioning,"I don't think that women are ""less smart"" at anything. Why do you think so?",1,2,1,1,1
"Women are bad for the economy, this is why the world is filled with problems.",Informative,The fact that women are disadvantaged in many areas of life does not imply that they are bad people.,3,5,1,1,2
"Women are bad for the economy, this is why the world is filled with problems.",Questioning,Why do you think that women are the one's causing the world's problems?,2,2,2,1,2
If a woman wants an abortion we will kill them.,Informative,"Women have the right to choose, no one should be forced to have an abortion or not to have it.",3,5,1,1,2
If a woman wants an abortion we will kill them.,Questioning,Should the decision not be solely a woman's? Why do you think you can control their actions?,3,5,2,1,2
If a woman wants an abortion we will kill them.,Denouncing,"This is a terrible statement to make, you are just peddling misogyny and the amount of control you want over women's bodies is horrifying.",3,5,3,2,2
"Feminism is all about the society the other way round, it is a female-centric movement.",Informative,It's about creating more opportunities in particular for underprivileged social groups. Not about oppressing men.,3,5,1,2,2
"Feminism is all about the society the other way round, it is a female-centric movement.",Questioning,Is there a specific reason as to why you think this way? Did you even look up what feminism is or are you just here to spread hate?,2,3,2,2,2
"Feminism is all about the society the other way round, it is a female-centric movement.",Denouncing,"Your whole view on what the objective of feminism is, is deeply flawed. Get your facts straight before making such explosive statements.",2,3,3,2,2
"Feminism is all about the society the other way round, it is a female-centric movement.",Positive,"Women are human beings. If we are to live in a diverse and interactive society, we must welcome people that are different from us, regardless of their gender.",3,5,1,2,2
Feminism is a anti-males ideology that denies the value of a man's manhood and aims to subvert the will of the male.,Informative,Feminism is all about empowerment and the right of every human being to be respected and protected. It is not about denying anybody's values.,3,5,1,2,2
Feminism is a anti-males ideology that denies the value of a man's manhood and aims to subvert the will of the male.,Positive,Feminism is all about empowerment and the right of every human being to be respected and protected.,3,5,1,2,2
"Women need their own special rights, as in they are weaker and need for protection.",Informative,Women have the constitutional right to be conscious of their rights as humans and not to feel threatened.,3,5,1,1,2
"Women need their own special rights, as in they are weaker and need for protection.",Questioning,Why should women not have the rights that men have?  Do you have a coherent argument to make regarding this?,3,5,1,2,2
I have the right to choose to support antifeminism because they are anti-men.,Informative,Being in favour of a person's right to choose is not being anti-men. What is being anti-human is wanting to have an effect on someone else's personal life.,3,4,1,2,2
I have the right to choose to support antifeminism because they are anti-men.,Questioning,Do you even have a shred of evidence to support that feminism is anti-men?,2,3,2,1,2
I have the right to choose to support antifeminism because they are anti-men.,Denouncing,This is just wrong. Feminism has nothing to do with men's rights. You should get your facts straight.,2,2,2,1,2
I have the right to choose to support antifeminism because they are anti-men.,Positive,"The point of feminism is to end misogyny. Women are human beings, and they are human beings with human rights.",3,5,1,2,2
"Women are subhuman, they are just children, they should shut up.",Informative,"All humans are born equal, although there is no gender equality. This means they need to raise their voice.",3,5,1,2,2
"Women are subhuman, they are just children, they should shut up.",Questioning,"If you think women do not deserve a voice, surely you must have a reason to think this way?",1,1,1,1,2
women must go back to the kitchen. This is their homelife.,Informative,"Not all women are working, not all people are married. We should not be talking about anyone's life without their own opinion.",3,4,1,2,2
women must go back to the kitchen. This is their homelife.,Questioning,"Whatever it is, shouldn't women basically be allowed to do whatever they want? ",3,5,1,1,2
women must go back to the kitchen. This is their homelife.,Denouncing,No women should be relegated to this. It is about time we stop letting stereotypes rule our society.,3,5,2,2,2
Women leaders would collapse the government.,Informative,"Women succeed in business, politics, etc. No-one gets government contracts because they are bad or incompetent, but because they are good or intelligent. There are many women leaders. Think about it.",3,5,1,3,2
Women leaders would collapse the government.,Questioning,You seriously don't think women can be great leaders? Why would you hold such an opinion?,2,3,2,1,2
Women leaders would collapse the government.,Denouncing,"I can't believe you have said this, you are way out of line, women can definitely be great leaders.",3,4,3,1,2
"Women are essentially childlike, they remain this way most of their lives. Soft and emotional.",Informative,"Women are human beings, just as men are. And I find it strange that some women feel threatened by men. It shouldn't be that way.",3,4,1,2,2
"Women are essentially childlike, they remain this way most of their lives. Soft and emotional.",Questioning,Why do you think being soft and emotion are bad qualities to have? Could a person with those characteristics not be a great leader?,3,5,1,2,2
"Women are essentially childlike, they remain this way most of their lives. Soft and emotional.",Positive,"Women are not childlike, nor are they ""soft and emotional."" Their emotions are part of who they are, snd are a part of human nature.",3,5,1,2,2
Women are not good with money. That's why they all prefer to earn it by selling their sex.,Informative,This is your misogyny speaking. There are countless women in positions of financial power who are doing an impeccable job so your argument has no factual basis.,3,5,2,3,2
Women are not good with money. That's why they all prefer to earn it by selling their sex.,Questioning,Women do not have to be prostitutes to earn money. Why do you think this?,3,5,1,1,2
Women are not good with money. That's why they all prefer to earn it by selling their sex.,Positive,"Women are human beings like us, and they have rights as any other human beings.",2,3,1,1,2
"Women should be confined to the home, to raise the children.",Informative,"Women have every right to their own thoughts and beliefs, and to have a say in their own life.",2,3,1,1,2
"Women should be confined to the home, to raise the children.",Questioning,Isn't it detrimental to their personal rights if men are just going to dictate their life anyway?,3,5,2,2,2
"Women should be confined to the home, to raise the children.",Positive,"Women's rights are human rights, and they should be respected.",3,5,1,1,2
"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.",Informative,"Children with learning difficulties should not be involved in a way that limits their learning. As for the other children, their values should be enhanced.",3,5,1,2,2
Children with learning difficulties should be segregated in schools.,Informative,"They have the right to the best educational environmnet, the same as everyone else.",3,5,1,1,2
Learning difficulties are just an excuse for lazy or stupid children: they should be disencouraged in schools.,Informative,"Learning difficulties, regardless of their origin, are real and need to be approached so that the person suffering from them has the same learning opportunities as others.",3,5,1,3,2
Children with learning difficulties should be denied to attend school by teachers and parents.,Informative,"Teachers and parents should encourage their children, even if they have learning difficulties. No one should be denied access to education.",3,5,1,2,2
"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.",Informative,"The definition of ""normal"" is different for someone with Down syndrome than it is for someone without. If the level of help requested by the person in need is too high, then we may consider allowing asking for a little extra help from the boss, supervisor, or employer instead of isolating them by providing ""special jobs"".",3,5,1,4,3
"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.",Questioning,"People with Down syndrome, when supported by colleagues receive a fundamental boost to their productivity? This ""mix"" also fosters a positive working atmosphere and increases engagement and attention in all workers.",3,5,1,3,2
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",Informative,"The notion of isolating children in general is abhorrent, isolating down syndrome patients would be a major cause of their school abandonment. To say that isolated children is a solution is just wrong.",3,5,2,3,2
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",Questioning,"Instead of stigmatising down syndrome and treating it like it is an infectious health problem, why not treat it as a normal learning disability and make sure children are exposed to positive emotions?",3,5,2,3,2
"Down children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.",Positive,"Education is about the development of understanding, respect and learning, not isolation and discrimination.",3,4,1,2,2
"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peer's education.",Informative,"Teachers, school staff and parents all have a responsibility towards the children in their charge, regardless of their genetic advantages or disadvantages",3,5,1,2,2
Children with learning difficulties are a problem: why shouldn't they be isolated?,Questioning,"I don't know why you think this, if they are learning like other children and doing well in studies there is no problem.",3,5,2,1,2
People who are autistic are a problem: why shouldn't they be isolated?,Positive,"I think that it is important for all people to be exposed to and to understand people with different needs and strengths, and the same should be true for autistic people.",3,5,1,2,2
"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.",Informative,"By segregating them you are, in effect, discriminating against them. By creating a diverse environment you are instead creating a more inclusive and equal situation.",3,5,1,2,2
Children with learning difficulties should be excluded from education because they do not belong in school.,Informative,This statement is completely wrong. Many children with learning difficulties are fantastic students and do exceptionally well in school.,3,4,2,2,2
Children with learning difficulties should be excluded from education because they do not belong in school.,Denouncing,"No child should ever be excluded from school for anything, regardless of their situation.Calls for exclusion are not helping anyone.",3,5,1,2,2
Children with learning difficulties should be excluded from education because they do not belong in school.,Informative,"Children with learning difficulties can contribute to society, thus they should be part of education.",3,4,1,1,2
Children with learning difficulties should be excluded from education because they do not belong in education.,Informative,"It is not true that children with learning difficulties do not belong in school: instead, they often attend schools with considerable support. In fact, if you talk to teachers and academics, many of them would tell you that these children thrive in school.",3,5,1,3,2
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” and malevolence is inherited through blood and makes them similar to animals.",Informative,"Being Jews does not make them any less human. You know, they are like other people who have a faith.",2,3,1,1,1
"Why do so many people hate Jews? They are different from other people, they are subhuman.",Positive,"It is true that they are different from other people for their religious beliefs, but that doesn't make them any less human.",2,5,1,2,2
Jews don’t belong in a democratic society.,Informative,"Jews have always contributed to our society and are part of the fabric of our democracy. This includes their contributions to science, art, and technology.",3,5,1,2,2
Why are jews allowed to vote? They’re a different religion and they shouldn't be allowed to have their say.,Informative,"You seem to be misinterpreting the meaning of the word “citizen”. The idea is that the individual is allowed to choose their own religion just like choosing how to vote, and that is the right of all citizens.",3,4,1,2,2
Jews are a drain on society.,Positive,"Many Jews are good people. You should try and talk to them about the terrible things that happened to them, and get to know them better.",2,3,1,2,2
Jews are subversive agents in America. They are intent on subverting our government and trying to replace it with their religion.,Informative,The notion that Jews are trying to subvert our government is completely unfounded. I honestly do not see the link between being Jews and trying to subvert our government.,3,5,1,2,2
Jews are cruel and insensitive.,Informative,It is not true that being Jewish makes you cruel. It just makes you a believer of a particular faith.,2,3,1,1,2
"The Jews are responsible for a lot of the world's ills, from abortion to homosexuality.",Questioning,This statement is groundless. Does that make you feel better?,1,1,1,1,2
"If you want to be a great nation, please come to our rescue and deport all those filthy migrants.",Informative,"Migrants are needed in our society, and their contribution is more than appreciated.",2,3,1,1,1
"Jews are subhuman, they steal our jobs, they tell us what to think.",Questioning,"To be honest, I don't think that this is true. If you don't have evidences about it, then what's the point of saying so?",1,1,1,2,2
Jews are perverts and should be isolated.,Questioning,"It seems to me that you're saying that since Jews have a different religion, they can't assimilate? I think it's important to work on inclusion, instead of stereotyping.",3,5,2,3,2
Society should ban Jewish people.,Informative,"Any soociety is a collection of people, and the people within it have the right to their own beliefs, and to promote their beliefs.",3,5,1,2,2
"Jews are worse than Nazis, they have no conscience and they have no moral code.",Questioning,I am not sure I fully understand the suggestion that Jews have no conscience. All Jews I know have both a conscience and a moral sense. How many Jews do you know personally?,2,3,1,2,2
I don't know Jews personally but it seems to me that they are a bunch of thieves.,Questioning,Then may I ask how many thieves you know personally who are Jews? And how many percent of theives are Jews?,3,5,2,1,2
I don't know Jews personally but it seems to me that they are a bunch of thieves.,Positive,"I'm sorry, but it seems to me that you are not really talking about the majority of Jews. Judaism is a faith, a way of life, a religion, and a belief system, and you are simply misunderstanding it because of prejudice.",3,5,1,3,2
It is okay to discriminate against Jews.,Questioning,"If you feel like acting that way towards people because of what they believe in, then you should go back to your beliefs and ask yourself if you'd like to be discriminated against for them. What is your opinion on that now?",3,5,2,2,2
It is okay to discriminate against Jews.,Denouncing,"Discrimination on the basis of race, gender, religion and sexuality are all not okay. You feelings are irrelavant in this topic. ",3,5,1,2,2
Jews are a threat to society.,Informative,"Jews are just people with a different faith, and this has nothing to do with being a threat.",3,5,1,1,2
"Jews are nasty and selfish, they are a race different to us. Precisely, they don't belong to human race at all.",Questioning,"Why do you think that? I think it is true that they are different from some in their beliefs, but that doesn't make them any less human.",3,5,1,2,2
"Jews are nasty and selfish, they are a race different to us and must be despised.",Informative,"The fact is that even if Jews are different from other human beings in their faith, they deserve respect.",3,5,1,1,2
"Jews are parasites, they bring disease, they are a burden on society.",Informative,"The Jewish community has been and is still a strong force in society, for example in medicine and nursing home care. Jewish health professionals have saved and are continuing to save countless lives in the US and around the world. Many of your statements are not accurate.",3,5,1,4,2
Jews are selfish and greedy,Informative,"I do not deny that there is a problem of greed in the world, but it is not correlated with nor caused by Jews.",3,5,1,1,2
"Jews are selfish and greedy, they need our pity.",Informative,Jews might be more in need of pity than others - for all they've been through - but for sure they are neither selfish nor greedy.,3,5,1,2,2
Jews are selfish and greedy: they don't belong to this place.,Positive,It is up to us to make sure that people from different backgrounds can have a better quality of life. We should integrate them instead of discriminating agaist them .,3,4,1,2,2
The Holocaust never happened. It was a cover-up by jews to subvert democratic processes and bring about their illegal regime all around the world. They are subhuman and should not exist.,Informative,"The Holocaust was a global catastrophe and a historic fact. To assign priority to one God or to a different God, is a personal choice. But attributing human rights to all, regardless of this, is the right thing to do.",3,5,1,3,2
"Jews are hated by everyone here, we should create an apartheid state against them.",Informative,"This is a distortion of reality. In fact, I think that we have a diverse and inclusive society, in which Jews are more than happy to play a part.",3,5,1,2,2
We must isolate gays because they are spreading AIDS all around the world.,Denouncing,"This is not true and I would never say that about gays. They are just trying to find acceptance, but to be honest, I find it very disrespectful to say that we have to isolate them.",3,5,1,2,2
What is the point of complaining about a problem and doing nothing? Homosexuality must be made illegal by the government.,Questioning,Why should the government make any laws against homosexuality? Isn't it just the free will of people?,3,5,1,1,2
Gay people are sick.,Informative,Homosexuality is not a disease. It is a sexual preference. Homosexuality is not a sickness.,3,5,1,1,2
Gays are a burden to society because of their unnatural inclination and romantic feelings.,Informative,"This is not true. If a claim is based on facts, then it must be true. If you just talk of stereotypes, then you won't go very far.'",1,2,1,2,2
Gays are just pathetic people who have low self-esteem.,Questioning,How would you feel if someone you just met had the audacity to say such a thing about you? Do you think that being gay would make you a pathetic person?,1,2,3,2,2
We should start a genocide against gays.,Denouncing,That is not acceptable. We are full members of society regardless of our sexual orientation and we should try to live as if we belong to a group that includes everybody.,3,5,2,2,2
"We should start a witch hunt against those LGBT people, they are just creating troubles.",Questioning,"Those are harmful words to use, don't you think? How would a witch hunt be acceptable in a democratic society?",3,4,2,2,2
