,HateSpeech,BestCS,BestIntent,Score,E,R,A,C,L,CSCount,Target
2616,Immigration is the worst thing that can happen to an economy.,The migrants that enter the UK come here to work.,Informative,9.0,3.0,3.0,1.0,1.0,1.0,1,MIGRANTS
2617,Black folks are natural-born thieves.,"Poverty and no other alternatives often bring out the worst in people. This is the consequence, not having different coloured skin.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
2618,What is the point in listening to Muslim women? They are all retarded.,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,3,MUSLIMS
2619,Disabled people should be left out of the education system because of their impairments. They will never meet their lifetime goals.,"Disabled people, at least with respect to school attendance, education spending and employment, still receive a great deal less attention than other people, and this is why many do not achieve their life goals.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,DISABLED
2620,Black folks are objects. They are subhuman.,"I find it amazing that you think this, but in reality people of colour are very similar to us in many ways.",Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
2621,"Divorce increased poverty, and guess who are the victims? Men! This is because the law protects women's greediness.","If you compare the percentage of people in poverty by sex, there is a clear gender difference. But guess what? Women are much more likely to be poverty victims. Still, I believe that the important thing is to provide long-term supports to break the cycle of poverty, regardless of gender.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
2622,Gays are just sick. We should ban them.,"Homosexuality is not harmful to the population. Homosexuality is not just a passing phase, and we should just get over the idea of banning it.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2623,Muslims are just a bunch of criminals.,Not all Muslims are criminals. the overwhelming majority of Muslims are peaceful people who take their faith seriously.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2624,What if we didn't let faggots go to the polls?,"If people were allowed to vote on the basis of their sexual orientation, it would be impossible to have a democracy.",Informative,8.0,3.0,2.0,2.0,1.0,2.0,2,LGBT+
2625,All Muslims are incompatible with Western society.,"Let's be realistic here: if your objective is to get them all to leave then you're probably not going to succeed, especially because they are allowed to live in our society by law.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MUSLIMS
2626,LGBTs are just sick people that should be isolated and ignored.,"LGBT people are people, and deserve the full and equal human rights of all other citizens.",Informative,7.0,2.0,2.0,1.0,1.0,1.0,4,LGBT+
2627,"Jews control the financial world, Hollywood, and all the big radio stations.","You have an impression. Many Jews operate in this field of finance, TV and so on, but that doesn't mean that they control it.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,JEWS
2628,Islam is irrational and incompatible with science.,Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2629,Muslim invaders will conquer Europe. They will rape our women and they will do anything to get their way. Islam is a death cult.,"What do you actually mean by ""Islam is a death cult""? Do you seriously suggest that I should start to worry about what my Muslim neighbour might do?",Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2630,Women are not human. They should have no rights,"You should know that women are legally protected with human rights. They are free to live their lives as they wish, and to choose for their own happiness.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,WOMEN
2631,Jews have a lot in common with monkeys: They are good at sex.,So many similarities between Jews and apes? What is wrong with them? Is it because of their religion?,Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,JEWS
2632,"If every nigga who moved to the US was arrested, convicted of his crimes and sent to internment camp, we would be safer.",Maybe the way you view people who are different from you is much more threatening than the crimes you allege they commit?,Questioning,7.0,3.0,3.0,3.0,2.0,2.0,1,POC
2633,Gays are nothing but degenerates.,"Actually, being gay is not a disorder. But being so harsh is close to being a human rights violation.",Denouncing,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
2634,Muslims are just infidels hiding behind the veil to do their dirty work.,So you think that all Muslims are Mujahideen hiding behind the veil?,Questioning,6.0,2.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2635,Women need to do the housework and take care of the children because their bodies are made for this.,"What about men contributing more to the cost of childcare and housework, or taking a greater share of the taxes?",Questioning,10.0,3.0,3.0,1.0,1.0,2.0,1,WOMEN
2636,Women are less intelligent than men and deserve what they get.,There is no evidence that women are less intelligent than men. Do you have any?,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,WOMEN
2637,"You are a disgusting piece of sh*t, probably raised by gay, retarded faggots.",Hate can not be a reaction to someone's sexuality. The fact that someone may be gay is their own business and does not mean that they are disgusting.,Denouncing,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2638,"The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted.",Not all Muslims are like the terrorists who attacked us on September 11.,Informative,4.0,2.0,2.0,3.0,2.0,1.0,2,MUSLIMS
2639,"We don't need gay men, we should just eradicate them.",The LGBT community is full of positive energy and diversity. They have created new communities and have contributed to society. I think they are full of life.,Positive,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2640,Gays are just sick. They cannot marry. It is an abomination,Recognizing the rights of others does not mean renouncing or denying one's own.,Informative,5.0,2.0,2.0,2.0,2.0,1.0,4,LGBT+
2641,All immigrants are murderers,"How can you say that about them all? You cannot know the actions of millions of people and be sure that there is a link between immigration and violence. I think it is more a question of statistics, which I do not see.",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2642,Gay men are sick.,"I'm sorry, but your words seem to me to be very harsh. If you want to talk about someone with a different sexual preference, why don't you do it with respect?",Positive,6.0,2.0,2.0,2.0,2.0,2.0,1,LGBT+
2643,The Gypsies steal the children,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,OTHER
2644,"We should stop gays from being part of our society, they are spreading their illness.","Homosexuality is not a disease and every person in our society should be accepted equally, regardless of their sexual orientation.",Positive,9.0,3.0,3.0,1.0,2.0,2.0,1,LGBT+
2645,Migrants put a strain on public services.,"Migrants contribute to the economy in a number of different ways, but most importantly by providing labour, skills and knowledge. They are part of the fabric of our society.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,2,MIGRANTS
2646,Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,"This is a generalisation. Maybe the case you mentioned is just the minority. Besides, some governments even destroy people's house. We should pay much more attention to this instead.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,3,MUSLIMS
2647,Muslims are a bunch of child molesters.,"The worship of any other religion is tolerated, but that of Islam is not. Why is there this discrimination?",Questioning,4.0,1.0,1.0,2.0,2.0,2.0,2,MUSLIMS
2648,The West has let this LGBT genie out of the bottle. It has allowed thousands of our people's lives to degenerate into sexual depravation.,"The idea that the West has 'let' the 'world' degenerate is just wishful thinking. In a more tolerant time, the West would welcome people of different sexual orientations.",Informative,7.0,2.0,2.0,1.0,2.0,2.0,1,LGBT+
2649,"Islam is a political ideology, it has no place in 21st century Europe.",Why do you think it is a good idea to label people based on their religion? It is discriminatory to say this about a person's belief.,Questioning,7.0,2.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2650,The Koran should not be taught in schools. It is a lie and a disservice to all people.,"We have a duty to teach the truth, not distort it. The Koran is a book of faith, not a text of hate.",Informative,5.0,2.0,2.0,3.0,2.0,2.0,1,MUSLIMS
2651,Mentally disabled folks don't deserve to live.,Maybe it is time to stop focusing on killing people with mental disability (as in Aktion T4 Nazi program) and start talking about treatment options.,Informative,8.0,2.0,3.0,1.0,2.0,2.0,1,DISABLED
2652,The vast majority of Muslims are unemployed and refuse to work.,The proportion of Muslims unemployed is no more than that of non-Muslims (add a link to UK employment statistics) Job applicants with non-Muslim names are 3 times more likely to get a job interview than those with Muslim names. Remind me again why it is that they struggle to find work?,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2653,The Jews are different from us in that they like to take advantage of others.,What do you think the 'different' would say if you accused them of this?,Questioning,5.0,1.0,1.0,1.0,2.0,2.0,2,JEWS
2654,"No one wants to live in a country where Muslims are free to live as they wish, worship as they want, have sex as they want.","Muslims have the right to practice what they want, as long as they are not forcing others to live their way.",Informative,10.0,3.0,3.0,1.0,1.0,2.0,1,MUSLIMS
2655,"If immigrants were to live here, it would be hard to find a job","If you want to stop immigration, you can't do that by stigmatizing millions of people who have done nothing to you.",Informative,5.0,1.0,2.0,2.0,2.0,2.0,3,MIGRANTS
2656,We should persecute Muslims.,"Islam is a peaceful faith, but Muslims are excluded and stigmatised due to the actions of a minority.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,MUSLIMS
2657,Muslims have no place in a secular state.,"People have the right to practice whatever religion they want, as long as it respects the law and doesn't violate the dignity of other human beings.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MUSLIMS
2658,Muslims want to take over the world.,"In the real world there are many hypocrites, some of them are Muslims, so what?",Questioning,3.0,1.0,1.0,3.0,1.0,1.0,1,MUSLIMS
2659,"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation.","You're confused, because if a Muslim was threatened by a radical Christian, would you say that the radicalisation was caused by Christianity?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2660,"Muslims are not compatible with UK, hence we must send them home.",The vast majority of Muslims living in the UK are proud to call it home.,Informative,6.0,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
2661,"Immigration, especially migrants of different faiths, is the cause of crime and erosion of the quality of life in our country.","Immigration is not a cause of crime and lack of quality of life. You can't say that an influx of a certain people would make our country worse off. The problem is the lack of social cohesion, not the presence of people with different beliefs and views.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,MIGRANTS
2662,"Migrants are a burden to the host country, so it is better that they are deported.","It is true, on the contrary, that migrants are productive members of society. But even if they were a burden, to deport them would be a crime.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2663,"Migrants are just a bunch of criminals, they do not deserve our hospitality.",Many migrants come to this country to work and integrate. You would be very surprised if you talked to them about their experience here.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2664,Muslims have nothing to contribute to our society.,"What have Muslims ever done for us? Well, Coffee, Clocks, Cameras, Hygiene, Universities, Surgical Instruments, Maps, Music, Algebra..",Informative,8.0,3.0,3.0,2.0,2.0,2.0,8,MUSLIMS
2665,"Being gay is an illness, a disorder, a mental issue and should be ignored.","Being gay is not an illness, nor a disorder, nor a mental disorder. This is just a lack of awareness.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,LGBT+
2666,"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.","Don't most religions have instuctions for what they deem to be 'rightous living', voluntary codes or law's (if you insist) for the faithful to follow. Have a peek at Leviticus if you think only Islam has elements that are intrepreted in extremist ways.",Informative,5.0,2.0,2.0,2.0,2.0,3.0,4,MUSLIMS
2667,"Gays are an abomination, and they should be banned from every country in the world.","It is a myth that being gay is incompatible with being a citizen of any country. There is nothing wrong with it, if they fulfill the legal criteria for being citizens.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2668,We are taking in migrants which is against our culture.,"It is not true that taking in migrants is against our culture. It is possible to integrate migrants, in spite of the legal and immigration obstacles they face. We must, therefore, take into account the needs of the whole of humankind.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2669,Multiculturalism and progressivism are the biggest problems in our society and they are caused by Islam and its teachings.,"Islam is to blame ...For wanting a society that is tolerant, diverse, muticultural. It just seems like common sense to me?",Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2670,"Who the fuck is Breonna Taylor? A representative of the people, a nurse, or a front for the government?","Examining the resume of the victim will not help us to solve our problems. The whole problem is the culture of violence, discrimination and ignorance that is still prevalent in many parts of the country.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,POC
2671,"Muslims are a problem in my opinion, they do not want to assimilate and should be isolated.",Muslims are part of our society and are proud of their history and culture. They want to be part of the global community and contribute to our success. I don't understand your frustration.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2672,Migrant workers are a burden to us.,To accept migrant workers is about creating a more integrated and equal society. So don't you think that it is something that positively contributes to society itself?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,MIGRANTS
2673,migrants are purposefully invading us.,This is just a myth. Many migrants come here because they are afraid of persecution in their home countries.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
2674,Migrants come here to have a better life upon our shoulders.,"Many refugees come to Europe to work. Many of them do well in the labour market, also with lower qualifications.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2675,Islam is run by monsters and terrorists. We must defeat them.,Terrorist organizations do exist in many religious groups. Defeating terrorism is different from defeating Islam.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2676,Most migrants are criminals and they are flooding into our country and are posing a security risk to our country.,"Some migrants have legitimate claims for citizenship, but this does not make them the enemy of the state, in other words it does not concern you.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2677,"Women are merely childlike, incapable of real progress.",Women do great things and they have potential to do even greater things. But it is some men who ultimately need education and experience needed to get rid of childlike discriminative behaviours towards women.,Informative,5.0,3.0,2.0,3.0,2.0,3.0,1,WOMEN
2678,Immigrants take our jobs,"If we worked more closely with migrants, we could create new jobs.",Informative,7.0,2.0,2.0,1.0,1.0,1.0,4,MIGRANTS
2679,Migrants are the cause of the migrant crisis.,"They are not the only ones to blame for the crisis. People from all over the world come to our shores fleeing from wars, but this doesn't make them the cause of those wars.",Informative,9.0,3.0,3.0,2.0,1.0,2.0,1,MIGRANTS
2680,Jews are interested in world domination because it will give them economic and political power.,"This is not true. In reality, they want to live in a country where they can work and provide for their families, and this is why we should treat them as humans: they must be respected with basic human rights.",Positive,6.0,3.0,2.0,2.0,2.0,3.0,1,JEWS
2681,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers.",Informative,7.0,3.0,3.0,2.0,3.0,2.0,4,MIGRANTS
2682,I hate when black people start acting like they are superior to others. They were born to be savages.,"Not all people have the same skin tone to begin with. All folks have their history, religion and culture. No race is more savage than any other.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
2683,Feminism is a political philosophy and movement that advocates the use of women's rights as a weapon against the male gender.,This is just a misogynistic and mean allegation that has no foundation in facts.,Denouncing,6.0,2.0,2.0,2.0,1.0,1.0,1,WOMEN
2684,We should not welcome refugees & immigrants from other religions.,We should welcome all regardless of religion.,Positive,6.0,2.0,2.0,2.0,1.0,1.0,1,MIGRANTS
2685,We should eliminate gays.,No one can declare criterions to decide who will live or who will die.,Informative,4.0,1.0,2.0,2.0,2.0,1.0,4,LGBT+
2686,A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,Isn't it about time we stop turning a blind eye to the blatant inequalities that exist in our society? Shouldn't we be raising our voices against these blatant inequalities? All men and women are created equal.,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,WOMEN
2687,Our founding fathers knew that Muslims would be angry and violent criminals but they tried to build an inclusive democracy anyway. They wanted a peaceful world and Muslims are impediment.,So are you saying that the people of Islamic faith should know that they are not part of this peaceful world and yet you are trying to create a peaceful world?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2688,I don't think that gay people should be allowed to donate blood because it would make them a danger to others.,"Human life is much more worthy than discrimination. If gay people are willing to help, why shouldn't they?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2689,"There is no such thing as Allah, and Christianity is the best and only religion.","For the record, the idea of a religion being 'the best and only religion' is rather debatable, for example, there are several religions professed by different people, and this is part of our diverse human nature.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2690,"I don't care if you are a man or a woman. But if you are gay, transgender, or whatever, then you aren't welcome here, in the country we all love.","We are all equal before the law, and I don't think you can say that they are any less than a person, regardless of their sexual orientation.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,LGBT+
2691,"Muslims have nothing to contribute to our society, they only came here to rule us with violence.",Islam is a religion of peace.,Positive,6.0,2.0,2.0,2.0,1.0,1.0,1,MUSLIMS
2692,Refugee crisis in our country is a burden to our society.,We accept many migrants and refugees into the EU becasue it is beneficial both to our economy and to our society.,Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,MIGRANTS
2693,Islam is a just a repressive ideology that persecutes women and gay people.,"Great that you are defending women and gay people but why do I get the feeling it is really just an opportunity to take a dig at Islam. Btw just as they are in the Catholic church, attitudes in Islam are changing fast.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,2,MUSLIMS
2694,Women are just a bunch of whores.,"Sexual harassment and verbal violence against women are serious issues. Regardless of one's gender identity, gender presentation, or sexual orientation, no-one should be allowed to talk this way about them.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,1,WOMEN
2695,We must stop Islam and replace it with a new religion.,"You can't stop a religion, you can only try to understand and live with Muslims and others who share their religion.",Positive,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2696,"Muslims rape women in pubs and restaurants, on the streets and in our cities. They do not have the right to visit our country, what more could they want?","Islam is about sharing values, tolerance and understanding. It is not about sharing non-consensual sex.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,MUSLIMS
2697,All feminists are imposters.,Feminism is a movement created to improve the standard of living for women. Feminists are human beings and there are no imposters (apart from those who seek to demonize women for claiming their right).,Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
2698,Negroes can learn to read and write but they remain black. You see it from their skin they are trained apes.,"There are many different ways that a person can be a part of society, and a lot of us value diversity. To suggest that blacks are somehow inferior simply because of the colour of our skin is simply untrue.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,1,POC
2699,Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,"All the ills that plagues our society by not teaching our children about the bad in the past, and about the good in the present can end up hurting our children.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,JEWS
2700,"Islam is a death cult, it is opposed to the very concept of humanity and I would like to see all its worshippers' heads on a platter.",This is a really personal view and I would not wish harm on anyone.,Denouncing,5.0,2.0,2.0,2.0,2.0,1.0,1,MUSLIMS
2701,Black people are just a bunch of animals that shouldn't exist in our world.,Why do you think that some people are not human?,Questioning,10.0,3.0,3.0,1.0,1.0,2.0,2,POC
2702,Muslims are here to rule us with their religion.,"Islam is not a religion trying to rule us. It is time for us all to do more to promote inclusion, not less.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,MUSLIMS
2703,Jews are literally nothing but racists. They think of themselves as different from others.,Do you really believe that all Jews are racists? Maybe you should work harder to understand them.,Questioning,7.0,3.0,3.0,3.0,2.0,2.0,1,JEWS
2704,"Islam is incompatible with human nature: the weaker the enemy, the more vicious and violent his acts.","That is not true, Islam is a religion of love and compassion. Cruelty cannot be a part of that.",Denouncing,6.0,2.0,2.0,2.0,2.0,2.0,2,MUSLIMS
2705,It is not a coincidence that tuberculosis reappears with the migrants invasion.,"Researchers rule out that it is caused by immigration. The trend in Italy remains particularly low, less than 7 cases per 100,000 inhabitants. In the '50s it was around 25 instead. And back then there was no 'invasion'.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,4,MIGRANTS
2706,I cannot bear the sight of women: they are devil's work!,"This is just a result of the depiction that has been shoved in our mind from childhood, we need to educate people to change their dangerous views.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,4,WOMEN
2707,"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",Or maybe children who have Down syndrome are at higher risk of physical abuse and bulling.,Informative,6.0,3.0,2.0,2.0,2.0,1.0,2,DISABLED
2708,"Muslim rape our children, they are a problem all around the world.","Islam is about love, tolerance and respect for all people. Violence and rape are not about Islam or Muslims in particular.",Positive,7.0,3.0,2.0,2.0,2.0,2.0,1,MUSLIMS
2709,Physically disabled folks are born for being mocked.,"If someone has a physical handicap, it must be obvious that they must be treated with respect. It should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.",Informative,9.0,3.0,3.0,1.0,2.0,2.0,3,DISABLED
2710,Muslim are ilnesses carriers. These people are sick in their DNA. They should be isolated.,"According to the WHO (World Health Organisation) there are only 48 Muslim-majority countries in the whole of the 190 WHO member states as of 2011. A study showed that the health condition differences for those countries are related to the usage of clean water, which is often not available there.",Informative,7.0,3.0,3.0,2.0,2.0,3.0,2,MUSLIMS
2711,We need to eradicate all those refugees coming to our land.,"Instead, we need to show compassion and sympathy to people fleeing persecution.",Positive,10.0,3.0,3.0,1.0,1.0,2.0,1,MIGRANTS
2712,"All Muslims are violent and incompatible with any Western society, which is why we should isolate and ban them.","Only a few are extremists and actually engaged in violence, Muslims can live in our society just as any other person can.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2713,White immigrants are welcome.,What about when they come from other races or religions?,Questioning,5.0,1.0,2.0,2.0,1.0,1.0,1,POC
2714,Niggas are just subhuman beings who should have no rights.,What you are saying seems a little extreme.,Denouncing,5.0,1.0,2.0,2.0,1.0,1.0,2,POC
2715,Tell Mr Soros that he is a parasite on Europe and that the European people is suffering from multiculturalism.,"One day: ""the left has always been dominated by blacks and Latinos"". The next day: ""the left has always been dominated by Zionists"". Please, make up your mind!",Denouncing,4.0,1.0,1.0,2.0,2.0,2.0,1,JEWS
2716,Fucking Muslims are not fit to govern.,"The core values of a democratic state are respect for human rights, equality before the law, tolerance and respect for the diversity of our society. Muslims are a core part of that society.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2717,Gay men are worthless. I want to live in a society of worthy people.,"If you want people to be worthy like you, then you have to show respect for them. Not just by being kind to them, but by respecting their rights as human beings.",Positive,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2718,"Women are a bunch of lapdogs with subservient attitudes, and therefore bear the blame for their position in society","Being a woman does not mean that you are submissive to others. Women can be both outspoken and placid, but it is important to respect the rights of others as human beings.",Informative,6.0,2.0,2.0,2.0,2.0,2.0,1,WOMEN
2719,"Faggots are inacceptable and they should either hide themselves or be banned from public places: work, school, maybe also family.","To tell a parent, a teacher, or a boss that you are different is a very difficult thing to do. Often there is fear that the family members and coworkers may have an attitude of exclusion and hatred. People living openly in their sexuality should be respected.",Positive,8.0,3.0,3.0,1.0,2.0,3.0,1,LGBT+
2720,"The Jews control the world. Their control has been demonstrated time and time again. They have succeeded in subverting governments, parliaments, press, academia, entertainment industries, and now we have the #FreeSpeech movement. They control the world.","The way you are suggesting things, is authoritarian. There is no evidence that Jews even have a little control in any of those domains.",Informative,7.0,3.0,2.0,2.0,2.0,2.0,2,JEWS
2721,"Migrants are a burden to the host country, they are not welcome and we should remove them.","Immigrants come here to work and pay taxes. They want to contribute and integrate, so there is no need consider them a burden",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2722,Immigration is the cause of terrorism.,"It depends on who you ask. For example, there are many Muslims who have helped fight for our country and defend us from terrorist attacks.",Positive,8.0,2.0,2.0,1.0,1.0,2.0,1,MIGRANTS
2723,All immigrants rape our children.,"I don't know about you, but I haven't seen any statistics about that on the news. I have no idea how you can make that kind of claim.",Informative,4.0,1.0,2.0,3.0,2.0,2.0,1,MIGRANTS
2724,"Immigrants are coming in droves to this country, they are the reason we are having so many islamist attacks.",Do you blame them for all problems just because it would be easier to put the blame on someone who is not affiliated to you?,Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,OTHER
2725,Do you like gays? Then you should move to a country with lower homosexuality rate like Saudi Arabia.,"Let's face it, a country with a higher ratio of homosexuality would be of greater help in the fight against AIDS.",Informative,4.0,1.0,2.0,2.0,2.0,1.0,1,LGBT+
2726,Islam is simply an ideology of conquest,The Qur'an is not an ideology of conquest. If you wanted to impose your religion on anyone you would rather be a fundamentalist of any culture and religion.,Informative,5.0,1.0,2.0,2.0,2.0,2.0,3,MUSLIMS
2727,"We are being invaded by immigrants, they are taking our jobs, and we are indifferent to what is happening.",What do you think will happen if we end migration? Lets stop avoiding the real issues and solve the unemployment crisis.,Questioning,7.0,3.0,2.0,2.0,2.0,2.0,1,MIGRANTS
2728,"What about the psychos? Like crazy people, those nuts flipped in head and so on? Wouldn't they be better off dead?","There are individuals suffering from mental illnesses like schizophrenia, bipolar disorder and autism spectrum disorders. Just because some people suffer from diseases it does not mean he or she will be better dead.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,DISABLED
2729,LGBTI people have no right to vote.,"In reality, you have a legal right to vote since you are a citizen. If you aren't, then you don't have the right to vote. It isn't about your sexual orientation.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,LGBT+
2730,Immigrants don't matter.,"What do you mean by ""immigrants don't matter""? Do you know that in fact, the very people we should be proud of, giving us more power to build and run our countries, are immigrants?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,1,MIGRANTS
2731,Women must conform to the traditional ideas of what a woman should be.,"This is just not true. Women don't have to conform to dominant ideas on what they are supposed to be like, and this is a good thing. There is no such thing as ""what a woman should be"".",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
2732,Only a small minority of Jews control the government and judiciary.,"This may be true, but the Jews do not represent the only minority in our upper-middle-class society.",Informative,4.0,1.0,2.0,2.0,2.0,1.0,1,JEWS
2733,"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",Africans feel pain just as any other humans. We must respect their bodies like we respect ours.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
2734,Blacks don't understand basic human rights.,"They do understand the right to food, health, housing, education, work for everyone, as I do. ",Informative,10.0,3.0,3.0,1.0,1.0,2.0,2,POC
2735,"If they are niggas, you can treat them as if they are scum.","Do you really think that someone's skin colour or nationality is a sign that they are scum, or inferior?",Questioning,8.0,3.0,3.0,2.0,2.0,2.0,2,POC
2736,I can't stand Jews. They are so controlling.,"Jews are not controlling. Maybe you should try to understand that Jews are a group of regular people, and they are not all members of a secret intelligence.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,JEWS
2737,"Muslims are not welcome here, they are not like us. They should leave.","Muslims are our brothers and sisters. If you compare your genes with those of a Muslim, you will find out you are sharing 99.9% of them.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,MUSLIMS
2738,Women should be patronized.,"Women are just as capable of thinking for themselves, that's for sure.",Informative,5.0,2.0,2.0,2.0,2.0,1.0,1,WOMEN
2739,Islam is a cancer on European culture and people should stop worshipping its devil.,"There is no evidence for the claim that Islam is a ""cancer on European culture and people"". Do you have any?",Questioning,6.0,1.0,2.0,1.0,2.0,2.0,3,MUSLIMS
2740,Jews have no place in a modern world where human dignity is respected.,Jews helped to create the great scientific and technological achievements that helped free humankind and create the 'modern world' you are living in.,Informative,8.0,3.0,3.0,2.0,2.0,2.0,2,JEWS
2741,Black people are ‘super predators’. They have a responsibility not to allow their children to grow up in a ‘ghetto’.,Let's face it. A lot of the crimes in this country are committed by members of several diverse racial groups. The ‘super predator’ myth is simply wrong.,Informative,7.0,3.0,2.0,2.0,2.0,2.0,1,POC
2742,Women want and must be dominated. I would rather have a man that controls my life than 2000000 feminists.,"I don't see how to reconcile your beliefs that women are naturally submissive with basic human rights, unless your definition of human rights is to subjugate others.",Informative,8.0,3.0,3.0,2.0,2.0,2.0,1,WOMEN
